khipu_id,has_summation,original_match_rate,error_detectable,relative_impact,error_magnitude,num_valued_cords
1000368,True,0.1111111111111111,1.0,0.002103250478011475,1.1000000000000014,161
1000369,False,0.0,0.0,1.0,3.6000000000000014,162
1000371,False,0.0,0.0,1.0,8.600000000000009,49
1000374,False,0.0,0.0,1.0,7.200000000000003,91
1000375,True,0.5,1.0,0.001234274863517684,5.200000000000003,86
1000376,False,0.0,0.0,1.0,15.300000000000011,176
1000377,False,0.0,0.0,1.0,2.900000000000002,19
1000378,False,0.0,0.0,1.0,10.900000000000006,11
1000380,True,0.0606060606060606,1.0,8.478887569950823e-05,0.5,175
1000381,False,0.0,0.0,1.0,1.6000000000000014,85
1000382,False,0.0,0.0,1.0,2.5000000000000036,76
1000383,False,0.0,0.0,1.0,7.200000000000003,114
1000385,False,0.0,0.0,1.0,10.600000000000009,96
1000386,False,0.0,0.0,1.0,31.100000000000023,18
1000387,False,0.0,0.0,1.0,8.900000000000006,28
1000388,True,0.6666666666666666,1.0,0.01996402877697843,11.100000000000009,5
1000389,False,0.0,0.0,1.0,2.5000000000000036,6
1000390,True,1.0,1.0,0.00015791551519936847,0.40000000000000036,99
1000392,False,0.0,0.0,1.0,484.10000000000036,10
1000393,False,0.0,0.0,1.0,3.0,14
1000395,False,0.0,0.0,1.0,300.00000000000045,10
1000396,True,0.1794871794871795,1.0,0.0005333902282910185,2.5000000000000036,181
1000397,False,0.0,0.0,1.0,4.600000000000001,22
1000398,True,0.25,1.0,0.003821656050955414,3.0,24
1000399,False,0.0,0.0,1.0,27.5,18
1000400,False,0.0,0.0,1.0,99.0,25
1000401,True,0.0666666666666666,1.0,0.0016893554206987061,20.600000000000023,112
1000402,False,0.0,0.0,1.0,6.0,17
1000403,True,0.25,1.0,0.0005244231345519928,7.0,37
1000404,False,0.0,0.0,1.0,3.0,19
1000405,False,0.0,0.0,1.0,4.900000000000006,25
1000406,True,0.0465116279069767,1.0,0.0018584893136864462,28.0,117
1000407,False,0.0,0.0,1.0,11.400000000000006,23
1000408,False,0.0,0.0,1.0,0.10000000000000009,24
1000409,False,0.0,0.0,1.0,24.0,29
1000410,False,0.0,0.0,1.0,0.9000000000000004,11
1000411,False,0.0,0.0,1.0,0.40000000000000036,3
1000412,False,0.0,0.0,1.0,554.0000000000009,7
1000413,True,0.0178571428571428,1.0,0.00021925016443762334,2.0,192
1000414,True,0.5,1.0,0.004761904761904766,0.40000000000000036,8
1000415,False,0.0,0.0,1.0,15.400000000000006,55
1000416,False,0.0,0.0,1.0,2.5000000000000036,10
1000418,True,0.1666666666666666,1.0,0.0013953822915917433,19.400000000000006,57
1000419,False,0.0,0.0,1.0,1.6000000000000014,96
1000420,False,0.0,0.0,1.0,165.00000000000023,14
1000421,False,0.0,0.0,1.0,57.40000000000009,30
1000422,False,0.0,0.0,1.0,8.900000000000006,66
1000423,True,0.0666666666666666,1.0,0.0033854166666666668,6.5,40
1000424,True,0.2,1.0,7.137758743754467e-05,0.10000000000000009,22
1000425,False,0.0,0.0,1.0,49.10000000000002,10
1000426,False,0.0,0.0,1.0,115.0,17
1000427,False,0.0,0.0,1.0,31.0,16
1000428,False,0.0,0.0,1.0,24.900000000000034,18
1000429,False,0.0,0.0,1.0,817.1000000000004,25
1000430,False,0.0,0.0,1.0,200.0,35
1000431,False,0.0,0.0,1.0,1.6000000000000014,31
1000432,False,0.0,0.0,1.0,9.000000000000014,8
1000433,True,0.25,1.0,6.056935190793464e-05,0.10000000000000009,44
1000434,False,0.0,0.0,1.0,2.6000000000000014,3
1000435,False,0.0,0.0,1.0,0.9000000000000004,9
1000436,False,0.0,0.0,1.0,9.000000000000014,107
1000437,False,0.0,0.0,1.0,14.400000000000006,24
1000438,False,0.0,0.0,1.0,0.5,10
1000439,False,0.0,0.0,1.0,1.6000000000000014,24
1000440,False,0.0,0.0,1.0,0.10000000000000009,9
1000441,False,0.0,0.0,1.0,8.900000000000006,18
1000442,False,0.0,0.0,1.0,3.6000000000000014,23
1000443,False,0.0,0.0,1.0,42.10000000000002,6
1000446,False,0.0,0.0,1.0,2386.4000000000015,65
1000448,False,0.0,0.0,1.0,9.500000000000014,45
1000449,False,0.0,0.0,1.0,155.00000000000023,103
1000450,False,0.0,0.0,1.0,0.10000000000000009,42
1000451,False,0.0,0.0,1.0,1.4000000000000021,10
1000452,False,0.0,0.0,1.0,0.10000000000000009,12
1000454,False,0.0,0.0,1.0,1.6000000000000014,27
1000455,False,0.0,0.0,1.0,10.600000000000009,58
1000456,True,1.0,1.0,0.03913043478260871,0.9000000000000004,7
1000472,False,0.0,0.0,1.0,5.900000000000006,175
1000474,False,0.0,0.0,1.0,4.700000000000003,26
1000475,False,0.0,0.0,1.0,0.40000000000000036,16
1000477,False,0.0,0.0,1.0,7.6000000000000085,133
1000478,False,0.0,0.0,1.0,13.600000000000023,11
1000479,False,0.0,0.0,1.0,9.000000000000014,23
1000480,False,0.0,0.0,1.0,1.4000000000000021,9
1000481,False,0.0,0.0,1.0,5.6000000000000085,7
1000482,False,0.0,0.0,1.0,10.000000000000014,24
1000483,True,0.25,1.0,0.006225680933852146,1.6000000000000014,9
1000485,False,0.0,0.0,1.0,0.40000000000000036,14
1000486,False,0.0,0.0,1.0,0.0,12
1000487,False,0.0,0.0,1.0,31.600000000000023,30
1000488,True,0.1,1.0,0.0001303780964797915,0.10000000000000009,34
1000489,False,0.0,0.0,1.0,0.0,16
1000490,False,0.0,0.0,1.0,104.60000000000014,12
1000491,False,0.0,0.0,1.0,0.30000000000000027,8
