khipu_id,num_values,mean,std,cv,range,iqr,variance_class
1000156,5,2224670.8,4967675.525028199,2.2329935400007046,11111112.0,11109.0,high
1000157,9,123462.11111111111,370368.33335290843,2.9998542064422606,1111109.0,4.0,high
1000158,28,4053.6428571428573,20984.257526579273,5.176641915950553,111115.0,9.25,high
1000159,51,220.58823529411765,1556.0349633150354,7.05402516702816,11114.0,2.5,high
1000160,3,37077.333333333336,64120.255382627205,1.7293653458346663,111114.0,55557.0,high
1000161,11,1269.6363636363637,3291.377136480329,2.5923778104885877,11101.0,554.0,high
1000162,28,48.75,209.29717044326125,4.293275291143821,1110.0,6.25,high
1000163,19,3.6842105263157894,0.8200698871944031,0.22259039795276656,3.0,0.0,low
1000164,79,9336640.683544304,29511509.32643805,3.160827360364383,111112221.0,111100.0,high
1000165,64,237380.71875,1400844.7432560618,5.901257484738582,11111110.0,11109.0,high
1000166,23,14.652173913043478,32.017905069808805,2.1851982688593545,117.0,5.5,high
1000167,20,67399.05,247995.58574540773,3.6795115917124606,1111109.0,1111.0,high
1000168,3,13.0,0.0,0.0,0.0,0.0,low
1000169,12,2.0,0.8528028654224418,0.4264014327112209,3.0,0.25,low
1000170,33,1.5757575757575757,0.7917663414126288,0.5024671012810914,3.0,1.0,medium
1000171,15,3.533333333333333,2.1668498091095505,0.6132593799366652,7.0,3.5,medium
1000172,23,4.391304347826087,2.759102792819411,0.6283105369786778,10.0,3.5,medium
1000173,8,4.25,3.24037034920393,0.7624400821656306,8.0,5.5,medium
1000174,6,20372595.666666668,44674661.41994927,2.1928801882150575,111112214.0,8335825.0,high
1000176,19,1.6842105263157894,0.88522637273985,0.525603158814286,3.0,1.0,medium
1000177,20,3.1,3.9590004054718557,1.277096904990921,17.0,2.25,medium
1000178,26,3.8076923076923075,2.6384727517142306,0.6929322378239394,8.0,5.0,medium
1000179,24,568398.5833333334,2269309.5789423804,3.992461708180507,11122221.0,11308.5,high
1000180,30,7.066666666666666,19.93079982361961,2.820396201455605,110.0,4.0,high
1000182,3,371161.6666666667,640912.7810836146,1.7267752535964505,1110100.0,555050.0,high
1000183,184,6169.967391304348,81910.70678875144,13.275711457436941,1111111.0,1.0,high
1000184,42,2651.5,17144.017336996003,6.465780628699228,111112.0,2.75,high
1000185,75,1.481481483111649e+17,1.2830005981800904e+18,8.660254028186186,1.111111111111111e+19,2780.0,high
1000186,9,1.0,0.0,0.0,0.0,0.0,low
1000187,11,2.727272727272727,2.2843339988236875,0.8375891329020188,8.0,2.0,medium
1000188,27,2.740740740740741,2.379279021251745,0.8681153185648259,10.0,3.0,medium
1000189,10,1011111.0,316227.7660168379,0.31275276998948476,1000000.0,0.0,low
1000190,4,4.5,2.3804761428476167,0.5289946984105814,5.0,2.0,medium
1000191,10,1373.5,3449.857750690599,2.511727521434728,11109.0,849.5,high
1000192,60,9.75,23.74984388887141,2.4358814244996316,111.0,6.0,high
1000194,5,1.4,0.8944271909999159,0.6388765649999399,2.0,0.0,medium
1000195,2,2.0,1.4142135623730951,0.7071067811865476,2.0,1.0,medium
1000197,41,30.317073170731707,173.17945014123217,5.712274702969042,1111.0,2.0,high
1000198,229,7.943231441048035,73.94528151229828,9.309219057897915,1115.0,3.0,high
1000199,22,2.1818181818181817,1.1396057645963793,0.5223193087733405,3.0,2.0,medium
1000200,35,5.714285714285714,18.926438757294346,3.3121267825265104,113.0,2.0,high
1000201,122,2291559.426229508,14247135.68222411,6.217222874148238,111111226.0,1195.75,high
1000204,3,4.333333333333333,2.516611478423583,0.5807564950208269,5.0,2.5,medium
1000205,4,35.75,52.55076910315712,1.4699515833050942,113.0,31.25,medium
1000206,12,11121503.416666666,31778140.854597017,2.8573601665197845,111111116.0,2861024.25,high
1000207,28,7.857142857142857,21.121718304318524,2.688218693276903,113.0,4.25,high
1000208,41,323203.9024390244,1735798.553122752,5.370598993464281,11111111.0,111109.0,high
1000209,52,304139.51923076925,1556833.9324695263,5.118814997824275,11111110.0,109.25,high
1000210,10,29.7,43.19735074181183,1.4544562539330583,110.0,11.0,medium
1000211,26,4273934.807692308,21790594.567965575,5.098485481984062,111111113.0,2.0,high
1000212,45,34.75555555555555,167.44132697693834,4.817685239106282,1111.0,7.0,high
1000213,30,4076.9,20316.86563076649,4.983410343831462,111110.0,2.75,high
1000214,40,2809270.1,17563983.424988043,6.252151911269778,111111113.0,108.0,high
1000216,8,1408.0,3922.007503453156,2.7855166927934345,11111.0,35.0,high
1000217,4,1.0,0.0,0.0,0.0,0.0,low
1000218,5,2244456.8,4956843.863310523,2.2084826329963327,11111096.0,111106.0,high
1000220,16,696.8125,2777.650211209708,3.986223282747809,11112.0,0.25,high
1000221,30,2.7,1.8411016192523955,0.6818894886119983,7.0,2.0,medium
1000222,38,3.210526315789474,2.2798517583012505,0.7101177607823567,6.0,5.0,medium
1000223,26,128640.5,361860.3657790944,2.81295832789125,1111111.0,5.75,high
1000224,2,2.5,0.7071067811865476,0.282842712474619,1.0,0.5,low
1000225,8,1.75,2.866057521105554,1.6377471549174594,8.0,3.0,high
1000226,5,247.6,544.7217638391181,2.200007123744419,1221.0,10.0,high
