khipu_id,model,matches,total,match_rate,has_pattern,tolerance
1000552,partial_summation,4,21,0.19047619047619047,False,
1000553,modulo_10,0,0,0.0,False,
1000553,positional_base10,0,0,0.0,False,
1000553,standard_tolerance_2,0,0,0.0,False,2.0
1000553,standard_tolerance_5,0,0,0.0,False,5.0
1000553,cross_level_all_descendants,0,0,0.0,False,
1000553,partial_summation,0,0,0.0,False,
1000554,modulo_10,7,7,1.0,True,
1000554,positional_base10,0,7,0.0,False,
1000554,standard_tolerance_2,0,7,0.0,False,2.0
1000554,standard_tolerance_5,0,7,0.0,False,5.0
1000554,cross_level_all_descendants,0,1,0.0,False,
1000554,partial_summation,0,7,0.0,False,
1000555,modulo_10,0,0,0.0,False,
1000555,positional_base10,0,0,0.0,False,
1000555,standard_tolerance_2,0,0,0.0,False,2.0
1000555,standard_tolerance_5,0,0,0.0,False,5.0
1000555,cross_level_all_descendants,0,0,0.0,False,
1000555,partial_summation,0,0,0.0,False,
1000556,modulo_10,0,0,0.0,False,
1000556,positional_base10,0,0,0.0,False,
1000556,standard_tolerance_2,0,0,0.0,False,2.0
1000556,standard_tolerance_5,0,0,0.0,False,5.0
1000556,cross_level_all_descendants,0,0,0.0,False,
1000556,partial_summation,0,0,0.0,False,
1000558,modulo_10,0,0,0.0,False,
1000558,positional_base10,0,0,0.0,False,
1000558,standard_tolerance_2,0,0,0.0,False,2.0
1000558,standard_tolerance_5,0,0,0.0,False,5.0
1000558,cross_level_all_descendants,0,0,0.0,False,
1000558,partial_summation,0,0,0.0,False,
1000559,modulo_10,2,2,1.0,True,
1000559,positional_base10,0,2,0.0,False,
1000559,standard_tolerance_2,0,2,0.0,False,2.0
1000559,standard_tolerance_5,0,2,0.0,False,5.0
1000559,cross_level_all_descendants,0,0,0.0,False,
1000559,partial_summation,0,2,0.0,False,
1000560,modulo_10,1,1,1.0,True,
1000560,positional_base10,0,1,0.0,False,
1000560,standard_tolerance_2,0,1,0.0,False,2.0
1000560,standard_tolerance_5,0,1,0.0,False,5.0
1000560,cross_level_all_descendants,0,0,0.0,False,
1000560,partial_summation,0,1,0.0,False,
1000561,modulo_10,0,0,0.0,False,
1000561,positional_base10,0,0,0.0,False,
1000561,standard_tolerance_2,0,0,0.0,False,2.0
1000561,standard_tolerance_5,0,0,0.0,False,5.0
1000561,cross_level_all_descendants,0,0,0.0,False,
1000561,partial_summation,0,0,0.0,False,
1000562,modulo_10,0,1,0.0,False,
1000562,positional_base10,0,1,0.0,False,
1000562,standard_tolerance_2,0,1,0.0,False,2.0
1000562,standard_tolerance_5,0,1,0.0,False,5.0
1000562,cross_level_all_descendants,0,1,0.0,False,
1000562,partial_summation,0,1,0.0,False,
1000563,modulo_10,0,0,0.0,False,
1000563,positional_base10,0,0,0.0,False,
1000563,standard_tolerance_2,0,0,0.0,False,2.0
1000563,standard_tolerance_5,0,0,0.0,False,5.0
1000563,cross_level_all_descendants,0,0,0.0,False,
1000563,partial_summation,0,0,0.0,False,
1000564,modulo_10,8,24,0.3333333333333333,False,
1000564,positional_base10,3,24,0.125,False,
1000564,standard_tolerance_2,3,24,0.125,False,2.0
1000564,standard_tolerance_5,3,24,0.125,False,5.0
1000564,cross_level_all_descendants,0,1,0.0,False,
1000564,partial_summation,3,24,0.125,False,
1000565,modulo_10,7,58,0.1206896551724138,False,
1000565,positional_base10,2,58,0.034482758620689655,False,
1000565,standard_tolerance_2,0,58,0.0,False,2.0
1000565,standard_tolerance_5,0,58,0.0,False,5.0
1000565,cross_level_all_descendants,0,44,0.0,False,
1000565,partial_summation,0,58,0.0,False,
1000566,modulo_10,6,6,1.0,True,
1000566,positional_base10,2,6,0.3333333333333333,False,
1000566,standard_tolerance_2,2,6,0.3333333333333333,False,2.0
1000566,standard_tolerance_5,2,6,0.3333333333333333,False,5.0
1000566,cross_level_all_descendants,0,0,0.0,False,
1000566,partial_summation,2,6,0.3333333333333333,True,
1000567,modulo_10,0,1,0.0,False,
1000567,positional_base10,0,1,0.0,False,
1000567,standard_tolerance_2,0,1,0.0,False,2.0
1000567,standard_tolerance_5,0,1,0.0,False,5.0
1000567,cross_level_all_descendants,0,0,0.0,False,
1000567,partial_summation,0,1,0.0,False,
1000569,modulo_10,0,1,0.0,False,
1000569,positional_base10,0,1,0.0,False,
1000569,standard_tolerance_2,0,1,0.0,False,2.0
1000569,standard_tolerance_5,0,1,0.0,False,5.0
1000569,cross_level_all_descendants,0,0,0.0,False,
1000569,partial_summation,0,1,0.0,False,
1000570,modulo_10,5,8,0.625,True,
1000570,positional_base10,1,8,0.125,False,
1000570,standard_tolerance_2,2,8,0.25,False,2.0
1000570,standard_tolerance_5,2,8,0.25,False,5.0
1000570,cross_level_all_descendants,1,4,0.25,False,
1000570,partial_summation,2,8,0.25,True,
1000571,modulo_10,0,0,0.0,False,
1000571,positional_base10,0,0,0.0,False,
1000571,standard_tolerance_2,0,0,0.0,False,2.0
1000571,standard_tolerance_5,0,0,0.0,False,5.0
1000571,cross_level_all_descendants,0,0,0.0,False,
1000571,partial_summation,0,0,0.0,False,
1000572,modulo_10,0,0,0.0,False,
1000572,positional_base10,0,0,0.0,False,
1000572,standard_tolerance_2,0,0,0.0,False,2.0
1000572,standard_tolerance_5,0,0,0.0,False,5.0
1000572,cross_level_all_descendants,0,0,0.0,False,
1000572,partial_summation,0,0,0.0,False,
1000573,modulo_10,1,3,0.3333333333333333,False,
1000573,positional_base10,1,3,0.3333333333333333,False,
1000573,standard_tolerance_2,1,3,0.3333333333333333,False,2.0
1000573,standard_tolerance_5,1,3,0.3333333333333333,False,5.0
1000573,cross_level_all_descendants,1,2,0.5,False,
1000573,partial_summation,1,3,0.3333333333333333,True,
1000574,modulo_10,2,4,0.5,False,
1000574,positional_base10,0,4,0.0,False,
1000574,standard_tolerance_2,0,4,0.0,False,2.0
1000574,standard_tolerance_5,0,4,0.0,False,5.0
1000574,cross_level_all_descendants,0,2,0.0,False,
1000574,partial_summation,0,4,0.0,False,
1000575,modulo_10,0,0,0.0,False,
1000575,positional_base10,0,0,0.0,False,
1000575,standard_tolerance_2,0,0,0.0,False,2.0
1000575,standard_tolerance_5,0,0,0.0,False,5.0
1000575,cross_level_all_descendants,0,0,0.0,False,
1000575,partial_summation,0,0,0.0,False,
1000576,modulo_10,2,2,1.0,True,
