khipu_id,color_entropy,color_cord_ratio,unique_color_count,multi_color_ratio,primary_color_diversity,pendant_color_diversity,color_transitions
1000255,1.3169718565075788,1.032258064516129,4.0,0.03125,4.0,1.0,0.0
1000256,1.0625354080615974,1.0714285714285714,4.0,0.13333333333333333,3.0,0.0,0.0
1000257,1.4941751382893085,1.1428571428571428,5.0,0.25,4.0,1.0,0.0
1000258,1.6447506563216447,1.0681818181818181,7.0,0.2127659574468085,7.0,0.0,0.0
1000259,1.5110889112908334,1.009009009009009,5.0,0.23214285714285715,5.0,0.0,0.0
1000260,1.5158237605786415,1.0285714285714285,6.0,0.25,6.0,2.0,0.0
1000261,1.2698151807571345,1.0285714285714285,4.0,0.2777777777777778,4.0,2.0,0.0
1000262,1.3844663828483748,1.0136986301369864,4.0,0.2702702702702703,4.0,0.0,0.0
1000263,1.5658243235357738,1.0135135135135136,5.0,0.32,5.0,1.0,0.0
1000264,1.6322035553249516,1.0087719298245614,13.0,0.41739130434782606,11.0,2.0,0.0
1000265,1.267379539678781,1.0,5.0,0.01818181818181818,4.0,3.0,0.0
1000266,1.239733000992151,1.0185185185185186,5.0,0.01818181818181818,3.0,1.0,0.0
1000267,1.3203309724452235,1.0163934426229508,4.0,0.016129032258064516,4.0,0.0,0.0
1000268,1.4361811885555797,1.0138888888888888,6.0,0.0136986301369863,5.0,0.0,0.0
1000269,1.3261784894276492,1.0095238095238095,4.0,0.009433962264150943,3.0,1.0,0.0
1000270,2.1571520733735876,1.0196078431372548,11.0,0.5865384615384616,7.0,10.0,0.0
1000271,2.0848921133258678,1.048,12.0,0.3893129770992366,7.0,11.0,0.0
1000272,1.6655237263866403,1.0163934426229508,6.0,0.20967741935483872,5.0,1.0,0.0
1000273,1.7858879394836533,1.1320754716981132,12.0,0.14285714285714285,9.0,8.0,0.0
1000274,2.2377281439960095,1.1221374045801527,12.0,0.43537414965986393,10.0,9.0,0.0
1000275,2.549016276897858,1.0138888888888888,18.0,0.6027397260273972,16.0,13.0,0.0
1000276,1.4270610433807247,1.125,5.0,0.4444444444444444,4.0,1.0,0.0
1000277,1.7079246416666576,1.1025641025641026,7.0,0.46511627906976744,7.0,0.0,0.0
1000279,1.871196972271294,1.913265306122449,13.0,0.4826666666666667,5.0,11.0,0.0
1000280,2.0116670132339034,0.9743589743589743,13.0,0.17293233082706766,10.0,12.0,0.0
1000283,1.695424784209612,1.1162790697674418,9.0,0.25,4.0,8.0,0.0
1000285,1.91412665426689,1.1719745222929936,14.0,0.29891304347826086,6.0,14.0,0.0
1000287,1.920499691282312,1.1692307692307693,13.0,0.28289473684210525,11.0,8.0,0.0
1000288,1.577478207627389,1.875,6.0,0.2,5.0,3.0,0.0
1000289,1.6300005591616533,1.5833333333333333,6.0,0.15789473684210525,5.0,1.0,0.0
1000290,0.8365651720880255,1.0434782608695652,3.0,0.4166666666666667,3.0,2.0,0.0
