khipu_id,parallel_sections,max_parallel_width,serial_chain_length,parallelization_ratio,parallel_fraction,n_cords
1000145,1,23,3,7.666666666666667,0.9583333333333334,24
1000146,3,32,5,6.4,0.9830508474576272,59
1000147,4,224,5,44.8,1.0,338
1000148,3,219,4,54.75,1.0,303
1000149,1,15,2,7.5,1.0,15
1000150,1,29,3,9.666666666666666,0.9666666666666667,30
1000151,1,27,3,9.0,0.9642857142857143,28
1000152,2,27,3,9.0,1.0,35
1000154,1,5,2,2.5,1.0,5
1000155,0,1,2,0.5,0.0,1
1000156,2,4,3,1.3333333333333333,1.0,7
1000157,1,9,2,4.5,1.0,9
1000158,3,23,4,5.75,1.0,30
1000159,2,32,3,10.666666666666666,1.0,64
1000160,1,3,2,1.5,1.0,3
1000161,1,12,2,6.0,1.0,12
1000162,2,23,3,7.666666666666667,1.0,35
1000163,1,19,2,9.5,1.0,19
1000164,2,73,3,24.333333333333332,0.9883720930232558,86
1000165,2,37,3,12.333333333333334,1.0,64
1000166,2,25,2,12.5,0.9642857142857143,28
1000167,2,15,3,5.0,1.0,24
1000168,1,3,2,1.5,1.0,3
1000169,1,20,2,10.0,1.0,20
1000170,2,29,3,9.666666666666666,1.0,49
1000171,1,15,2,7.5,1.0,15
1000172,1,27,2,13.5,1.0,27
1000173,1,8,2,4.0,1.0,8
1000174,1,25,2,12.5,1.0,25
1000176,1,38,2,19.0,1.0,38
1000177,3,12,3,4.0,0.9565217391304348,23
1000178,2,16,3,5.333333333333333,1.0,32
1000179,2,21,3,7.0,1.0,26
1000180,2,85,3,28.333333333333332,1.0,105
1000182,1,3,2,1.5,1.0,3
1000183,3,557,4,139.25,0.99830220713073,589
1000184,1,89,2,44.5,0.9888888888888889,90
1000185,3,42,4,10.5,1.0,75
1000186,1,12,2,6.0,1.0,12
1000187,2,7,3,2.3333333333333335,1.0,11
1000188,2,20,3,6.666666666666667,1.0,39
1000189,1,9,3,3.0,0.9,10
1000190,1,9,2,4.5,1.0,9
1000191,1,10,2,5.0,1.0,10
1000192,3,54,3,18.0,1.0,75
1000194,1,7,3,2.3333333333333335,0.875,8
1000195,1,3,2,1.5,1.0,3
1000196,1,2,2,1.0,1.0,2
1000197,2,54,3,18.0,1.0,77
1000198,3,139,4,34.75,1.0,260
1000199,2,19,3,6.333333333333333,1.0,28
1000200,2,49,3,16.333333333333332,1.0,56
1000201,3,87,5,17.4,0.993006993006993,143
1000204,1,16,2,8.0,1.0,16
1000205,1,4,2,2.0,1.0,4
1000206,2,8,3,2.6666666666666665,1.0,12
1000207,1,37,3,12.333333333333334,0.9736842105263158,38
1000208,3,27,5,5.4,0.9777777777777777,45
1000209,3,32,4,8.0,1.0,56
1000210,1,11,5,2.2,0.7857142857142857,14
1000211,2,27,3,9.0,1.0,29
1000212,2,40,3,13.333333333333334,1.0,53
1000213,1,36,2,18.0,1.0,36
1000214,4,30,3,10.0,1.0,45
1000216,1,9,3,3.0,0.9,10
1000217,1,7,2,3.5,1.0,7
1000218,1,5,2,2.5,1.0,5
1000220,1,15,3,5.0,0.9375,16
1000221,1,33,2,16.5,1.0,33
1000222,2,24,3,8.0,1.0,40
1000223,2,24,3,8.0,1.0,31
1000224,1,5,2,2.5,1.0,5
1000225,1,8,2,4.0,1.0,8
1000226,1,6,2,3.0,1.0,6
1000227,3,36,4,9.0,1.0,51
1000228,1,45,2,22.5,1.0,45
1000229,2,52,3,17.333333333333332,1.0,80
1000230,2,61,3,20.333333333333332,1.0,86
1000231,2,42,3,14.0,1.0,45
1000232,2,27,3,9.0,1.0,35
1000233,2,56,3,18.666666666666668,1.0,58
1000234,1,56,2,28.0,1.0,56
1000235,2,74,5,14.8,0.9753086419753086,81
1000236,2,78,3,26.0,1.0,82
1000238,4,238,5,47.6,1.0,326
1000239,3,45,4,11.25,0.9836065573770492,61
1000240,2,43,2,21.5,1.0,47
1000241,2,76,3,25.333333333333332,1.0,86
1000242,1,6,2,3.0,1.0,6
1000243,1,22,3,7.333333333333333,0.9565217391304348,23
1000244,2,13,3,4.333333333333333,1.0,25
1000245,1,32,3,10.666666666666666,0.9696969696969697,33
1000246,1,41,2,20.5,1.0,41
1000247,1,26,2,13.0,1.0,26
1000248,1,26,2,13.0,1.0,26
1000249,2,61,3,20.333333333333332,1.0,66
1000250,1,74,2,37.0,1.0,74
1000251,2,66,3,22.0,1.0,79
1000252,1,13,2,6.5,1.0,13
1000253,1,24,2,12.0,1.0,24
1000254,1,11,2,5.5,1.0,11
