khipu_id,numeric_entropy_bits,numeric_entropy_per_cord,max_numeric_entropy,normalized_numeric_entropy,num_unique_values,num_cords_with_values,color_entropy_bits,max_color_entropy,normalized_color_entropy,num_unique_colors,num_color_records,structural_level_entropy,structural_branching_entropy,num_levels,num_cords_total,total_information_bits,info_per_cord,num_nodes,depth,avg_branching,min_bits_numeric,min_bits_color,min_bits_structure,total_min_bits,redundancy_ratio,compression_efficiency
1000196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1000197,3.2068005541940825,0.0782146476632703,3.807354922057604,0.8422646745160903,14.0,41.0,1.8359153436505349,2.321928094887362,0.790685701117543,5.0,78.0,0.879697578277517,0.0,2.0,77.0,5.922413476122134,0.05018994471289944,78.0,2.0,3.5,3.807354922057604,2.321928094887362,1.0,7.129283016944966,0.830716561826157,1.2037800207109253
1000198,2.6318137227041523,0.011492636343686254,4.247927513443585,0.6195524086451915,19.0,229.0,1.711069618701624,2.321928094887362,0.7369175740063686,5.0,261.0,1.25879631893803,0.0,3.0,260.0,5.601679660343806,0.01145537762851494,261.0,3.0,2.3008849557522124,4.247927513443585,2.321928094887362,1.584962500721156,8.154818109052103,0.6869165670446734,1.4557808735088569
1000199,3.079225801519103,0.13996480915995924,3.321928094887362,0.9269393296797147,10.0,22.0,1.2847772384799288,1.584962500721156,0.8106041864683591,3.0,29.0,0.9059282160429994,0.0,2.0,28.0,5.269931256042032,0.10539862512084064,29.0,2.0,3.5,3.321928094887362,1.584962500721156,1.0,5.906890595608518,0.8921667281191844,1.1208667264561005
1000200,3.7585924897724783,0.10738835685064224,4.321928094887363,0.8696564142792463,20.0,35.0,1.3401179478977492,1.584962500721156,0.8455202866238142,3.0,57.0,0.5435644431995964,0.0,2.0,56.0,5.642274880869824,0.062003020668899164,57.0,2.0,8.0,4.321928094887363,1.584962500721156,1.0,6.906890595608519,0.8169052054273521,1.2241322412395015
1000201,5.522830629424707,0.04526910351987465,6.044394119358453,0.9137112041944239,66.0,122.0,2.194007337952557,2.584962500721156,0.8487578977801303,6.0,157.0,1.2076570605209664,0.0,4.0,143.0,8.924495027898232,0.03367733972791785,144.0,4.0,3.575,6.044394119358453,2.584962500721156,2.0,10.629356620079609,0.8396082046056511,1.191031715167293
1000204,1.584962500721156,0.5283208335737187,1.584962500721156,1.0,3.0,3.0,1.5419822842863982,1.584962500721156,0.9728825026363703,3.0,18.0,0.0,0.0,1.0,16.0,3.126944785007554,0.16457604131618706,17.0,1.0,16.0,1.584962500721156,1.584962500721156,0.0,3.169925001442312,0.986441251318185,1.0137451152450248
1000205,2.0,0.5,2.0,1.0,4.0,4.0,0.7219280948873623,1.0,0.7219280948873623,2.0,5.0,0.0,0.0,1.0,4.0,2.721928094887362,0.34024101186092026,5.0,1.0,4.0,2.0,1.0,0.0,3.0,0.9073093649624541,1.1021599011505647
1000206,3.41829583405449,0.2848579861712075,3.4594316186372973,0.9881090915741207,11.0,12.0,1.2958363892911637,1.584962500721156,0.8175817337644011,3.0,14.0,0.9182958340544894,0.0,2.0,12.0,5.632428057400143,0.23468450239167263,13.0,2.0,3.0,3.4594316186372973,1.584962500721156,1.0,6.044394119358453,0.9318432825816402,1.073141824051716
1000207,3.454701244167347,0.12338218729169095,3.807354922057604,0.9073756754729677,14.0,28.0,1.9442717486838828,2.321928094887362,0.8373522646825118,5.0,43.0,0.17556502585750278,0.0,2.0,38.0,5.574538018708732,0.0844626972531626,39.0,2.0,19.0,3.807354922057604,2.321928094887362,1.0,7.129283016944966,0.7819212683041341,1.2789011381783293
1000208,4.150626554487255,0.10123479401188427,4.523561956057013,0.917557136346856,23.0,41.0,0.9503376699710266,1.0,0.9503376699710266,2.0,46.0,1.3487460081211509,0.0,4.0,45.0,6.449710232579433,0.07499663061138875,46.0,4.0,2.3684210526315788,4.523561956057013,1.0,2.0,7.523561956057013,0.8572681756660419,1.1664961191672196
1000209,4.2103638824610155,0.08096853620117338,4.392317422778761,0.9585745922245679,21.0,52.0,1.8136577829726204,2.0,0.9068288914863102,4.0,56.0,1.2638091738835462,0.0,3.0,56.0,7.287830839317182,0.06747991517886279,57.0,3.0,2.8,4.392317422778761,2.0,1.584962500721156,7.977279923499917,0.9135734121411839,1.0946027836517858
1000210,2.6464393446710157,0.26464393446710155,2.807354922057604,0.94268071481726,7.0,10.0,1.7735572622751854,2.321928094887362,0.7638295372627469,5.0,15.0,1.089230078842585,0.0,4.0,14.0,5.509226685788786,0.22955111190786606,15.0,4.0,3.5,2.807354922057604,2.321928094887362,2.0,7.129283016944966,0.7727602723435707,1.294062383625485
1000211,2.965077584342487,0.1140414455516341,3.321928094887362,0.8925772923579867,10.0,26.0,2.4464393446710155,2.807354922057604,0.8714392773956555,7.0,30.0,0.36205125173399794,0.0,2.0,29.0,5.7735681807475006,0.10497396692268182,30.0,2.0,14.5,3.321928094887362,2.807354922057604,1.0,7.129283016944966,0.8098385443563979,1.2348140341908878
1000212,3.816651363324026,0.08481447474053391,4.392317422778761,0.8689379650775457,21.0,45.0,1.8144896189917046,2.0,0.9072448094958523,4.0,64.0,0.8037159237834124,0.0,2.0,53.0,6.434856906099144,0.06566180516427698,54.0,2.0,4.818181818181818,4.392317422778761,2.0,1.0,7.392317422778761,0.870478976764541,1.1487928217598915
1000213,2.867108948944828,0.09557029829816094,3.4594316186372973,0.8287803503611987,11.0,30.0,1.813029642152198,2.0,0.906514821076099,4.0,37.0,0.0,0.0,1.0,36.0,4.680138591097026,0.07091119077419736,37.0,1.0,36.0,3.4594316186372973,2.0,0.0,5.459431618637297,0.8572574799032309,1.1665106732144026
1000214,4.596439344671017,0.11491098361677543,4.754887502163468,0.9666767810131455,27.0,40.0,1.6213925906832303,2.321928094887362,0.6982957802411555,5.0,46.0,1.384822910936511,0.0,4.0,45.0,7.602654846290759,0.08944299819165598,46.0,2.0,5.0,4.754887502163468,2.321928094887362,2.0,9.07681559705083,0.8375905365711027,1.1939007860496649
1000216,2.5,0.3125,2.584962500721156,0.967132018086354,6.0,8.0,0.4138168503036338,1.0,0.4138168503036338,2.0,12.0,0.46899559358928117,0.0,2.0,10.0,3.3828124438929152,0.1879340246607175,11.0,2.0,5.0,2.584962500721156,1.0,1.0,4.584962500721156,0.73780591299511,1.3553699995985635
1000217,1.0,0.25,1.0,1.0,2.0,4.0,1.2987949406953987,1.584962500721156,0.8194483718728036,3.0,8.0,0.0,0.0,1.0,7.0,2.298794940695399,0.20898135824503628,8.0,1.0,7.0,1.0,1.584962500721156,0.0,2.584962500721156,0.8892952760645767,1.1244859012692927
1000218,2.3219280948873626,0.46438561897747255,2.321928094887362,1.0000000000000002,5.0,5.0,0.8112781244591328,1.0,0.8112781244591328,2.0,8.0,0.0,0.0,1.0,5.0,3.1332062193464956,0.31332062193464955,6.0,1.0,5.0,2.321928094887362,1.0,0.0,3.321928094887362,0.9431890546242345,1.0602328293540249
1000220,3.452819531114783,0.21580122069467395,3.584962500721156,0.9631396508109106,12.0,16.0,1.5451521971989497,2.0,0.7725760985994748,4.0,17.0,0.3372900666170139,0.0,2.0,16.0,5.335261794930746,0.16672693109158582,17.0,2.0,8.0,3.584962500721156,2.0,1.0,6.584962500721156,0.8102190095002746,1.2342341864044615
1000221,3.189898095464287,0.10632993651547623,3.584962500721156,0.8897995710757373,12.0,30.0,1.5830435300531969,2.0,0.7915217650265984,4.0,34.0,0.0,0.0,1.0,33.0,4.772941625517484,0.07576097818281721,34.0,1.0,33.0,3.584962500721156,2.0,0.0,5.584962500721156,0.8546058500663487,1.17013006630175
1000222,3.480212690186375,0.09158454447858881,4.169925001442312,0.834598389415307,18.0,38.0,2.4938408814382744,3.0,0.8312802938127581,8.0,37.0,0.9709505944546688,0.0,2.0,40.0,6.945004166079318,0.08903851494973485,41.0,2.0,3.076923076923077,4.169925001442312,3.0,1.0,8.169925001442312,0.8500695128600633,1.1763743845317953
1000223,4.056020968057883,0.15600080646376474,4.169925001442312,0.9726843928020212,18.0,26.0,0.8873068828532795,1.584962500721156,0.5598283129408778,3.0,32.0,0.7706290693639406,0.0,2.0,31.0,5.713956920275103,0.1002448582504404,32.0,2.0,5.166666666666667,4.169925001442312,1.584962500721156,1.0,6.754887502163468,0.8458996420658413,1.1821733338931524
1000224,1.0,0.5,1.0,1.0,2.0,2.0,1.3516441151533924,1.584962500721156,0.8527924884900406,3.0,9.0,0.0,0.0,1.0,5.0,2.3516441151533924,0.3359491593076275,6.0,1.0,5.0,1.0,1.584962500721156,0.0,2.584962500721156,0.9097401275636795,1.0992150062436403
1000225,0.0,0.0,0.0,0.0,1.0,8.0,0.6500224216483541,1.0,0.6500224216483541,2.0,6.0,0.0,0.0,1.0,8.0,0.6500224216483541,0.04062640135302213,9.0,1.0,8.0,0.0,1.0,0.0,1.0,0.6500224216483541,1.5384084713018946
1000226,1.9219280948873625,0.3843856189774725,2.0,0.9609640474436812,4.0,5.0,1.4488156357251847,1.584962500721156,0.9141008920185653,3.0,7.0,0.0,0.0,1.0,6.0,3.3707437306125474,0.3064312482375043,7.0,1.0,6.0,2.0,1.584962500721156,0.0,3.584962500721156,0.9402451852521425,1.063552375151842
1000227,1.7436817116521373,0.04588636083295098,2.584962500721156,0.6745481650761598,6.0,38.0,0.8739810481273579,1.0,0.8739810481273579,2.0,51.0,1.159554752378731,0.0,3.0,51.0,3.7772175121582263,0.04244064620402502,52.0,3.0,3.1875,2.584962500721156,1.0,1.584962500721156,5.169925001442312,0.7306135990569406,1.3687125469479042
1000228,4.068728288980289,0.1162493796851511,4.321928094887363,0.9414150813368234,20.0,35.0,0.9709505944546688,1.0,0.9709505944546688,2.0,45.0,0.0,0.0,1.0,45.0,5.0396788834349575,0.06299598604293696,46.0,1.0,45.0,4.321928094887363,1.0,0.0,5.321928094887363,0.9469648581453863,1.0560053959747588
1000229,2.484931338723656,0.03358015322599535,3.700439718141092,0.6715232588552896,13.0,74.0,1.644148483184114,2.321928094887362,0.7080962096993242,5.0,84.0,0.9340680553754911,0.0,2.0,80.0,5.06314787728326,0.03287758361872247,81.0,2.0,3.809523809523809,3.700439718141092,2.321928094887362,1.0,7.022367813028454,0.7210029454580414,1.3869568859593442
