kfg_id,cluster_label,geo_zone,n_cords,n_unique_colors
KH0393,Simple,,66,10
KH0394,Simple,Ica & Paracas,20,2
KH0395,Simple,Ica & Paracas,35,7
KH0396,Simple,Cañete–Pisco,14,1
KH0397,Simple,Cañete–Pisco,10,3
KH0398,Simple,Cañete–Pisco,25,2
KH0399,Simple,Cañete–Pisco,5,1
KH0400,Simple,,25,4
KH0401,Simple,,15,4
KH0402,Simple,Ica & Paracas,17,7
KH0403,Simple,,7,3
KH0404,Complex,Central Coast,225,8
KH0405,Simple,Central Coast,30,8
KH0406,Simple,Ica & Paracas,40,3
KH0407,Simple,Ica & Paracas,19,3
KH0408,Complex,Ica & Paracas,151,10
KH0409,Simple,,68,9
KH0410,Simple,,40,2
KH0411,Simple,,28,3
KH0412,Simple,,7,5
KH0413,Simple,,9,6
KH0414,Simple,,12,8
KH0415,Simple,Central Coast,90,33
KH0416,Simple,Central Coast,15,2
KH0417,Simple,Central Coast,18,3
KH0418,Simple,Central Coast,12,4
KH0419,Simple,Central Coast,8,3
KH0420,Simple,Central Coast,30,7
KH0421,Simple,Central Coast,33,8
KH0422,Simple,,39,9
KH0423,Simple,,16,9
KH0424,Simple,Central Coast,63,7
KH0425,Simple,Ica & Paracas,133,33
KH0426,Simple,,78,7
KH0427,Simple,,88,8
KH0428,Complex,Central Coast,417,23
KH0429,Simple,Central Coast,28,9
KH0430,Simple,Central Coast,70,32
KH0431,Complex,Central Coast,226,12
KH0432,Simple,Ica & Paracas,120,5
KH0433,Complex,Central Coast,167,12
KH0434,Simple,Central Coast,132,26
KH0435,Complex,Central Coast,236,34
KH0436,Complex,Nazca & Far South,369,26
KH0437,Simple,Central Coast,126,9
KH0438,Simple,Central Coast,86,6
KH0439,Simple,Central Coast,137,9
KH0440,Simple,Central Coast,113,9
KH0441,Simple,Central Coast,167,11
KH0442,Simple,Ica & Paracas,79,13
KH0443,Simple,Ica & Paracas,50,11
KH0444,Simple,Ica & Paracas,12,5
KH0445,Simple,North Peru Coast,164,61
KH0446,Complex,Central Coast,190,15
KH0447,Simple,Cañete–Pisco,94,22
KH0448,Simple,Ica & Paracas,79,7
KH0449,Simple,Ica & Paracas,95,9
KH0450,Simple,Central Coast,196,25
KH0451,Simple,Central Coast,164,26
KH0452,Simple,Central Coast,17,5
KH0453,Simple,Central Coast,268,60
KH0454,Simple,Central Coast,169,10
KH0455,Simple,Ica & Paracas,119,13
KH0456,Simple,Central Coast,62,4
KH0457,Simple,Ica & Paracas,65,60
KH0458,Simple,Ica & Paracas,9,6
KH0459,Simple,Ica & Paracas,10,4
KH0460,Simple,Ica & Paracas,58,5
KH0461,Simple,Ica & Paracas,80,4
KH0462,Simple,,23,10
KH0463,Simple,Central Coast,47,10
KH0464,Simple,Cañete–Pisco,24,4
KH0465,Simple,Cañete–Pisco,75,11
KH0466,Complex,Ica & Paracas,194,17
KH0467,Simple,Central Coast,59,7
KH0468,Complex,Ica & Paracas,955,54
KH0469,Simple,Central Coast,134,10
KH0470,Simple,Central Coast,144,20
KH0471,Simple,,98,4
KH0472,Complex,,194,15
KH0473,Simple,,30,9
KH0474,Simple,Ica & Paracas,86,15
KH0475,Simple,,52,30
KH0476,Simple,,76,7
KH0477,Simple,,71,7
KH0478,Complex,Ica & Paracas,233,11
KH0479,Simple,Central Coast,30,3
KH0480,Simple,Central Coast,73,5
KH0481,Simple,Central Coast,7,4
KH0482,Simple,Central Coast,34,5
KH0483,Simple,Central Coast,15,1
KH0484,Simple,Central Coast,24,12
KH0485,Simple,Central Coast,15,12
KH0486,Simple,Ica & Paracas,19,3
KH0487,Simple,,49,6
KH0488,Simple,,75,21
KH0489,Simple,Central Coast,90,13
KH0490,Simple,Central Coast,51,2
KH0491,Simple,Cañete–Pisco,89,4
KH0492,Complex,Cañete–Pisco,176,4
KH0493,Simple,Cañete–Pisco,14,2
KH0494,Simple,Cañete–Pisco,48,3
KH0495,Simple,Cañete–Pisco,15,2
KH0496,Simple,Cañete–Pisco,47,5
KH0497,Simple,Cañete–Pisco,15,2
KH0498,Complex,Cañete–Pisco,490,16
KH0499,Complex,Cañete–Pisco,237,7
KH0500,Complex,Cañete–Pisco,213,12
KH0501,Simple,Cañete–Pisco,25,4
KH0502,Complex,Cañete–Pisco,174,17
KH0503,Simple,Cañete–Pisco,88,4
KH0504,Complex,Cañete–Pisco,131,4
KH0505,Simple,Cañete–Pisco,169,11
KH0506,Complex,Cañete–Pisco,330,10
KH0507,Complex,Cañete–Pisco,381,10
KH0508,Simple,Cañete–Pisco,92,11
KH0509,Complex,Cañete–Pisco,362,12
KH0510,Simple,Cañete–Pisco,87,8
KH0511,Complex,Cañete–Pisco,124,20
KH0512,Simple,Cañete–Pisco,94,9
KH0513,Simple,Cañete–Pisco,109,19
KH0514,Simple,Cañete–Pisco,125,10
KH0515,Simple,Cañete–Pisco,15,3
KH0516,Complex,Cañete–Pisco,247,6
KH0517,Complex,Cañete–Pisco,322,5
KH0518,Simple,Cañete–Pisco,21,1
KH0519,Complex,Cañete–Pisco,250,6
KH0520,Simple,Central Coast,32,12
KH0521,Complex,Central Coast,198,25
KH0522,Simple,Central Coast,22,5
KH0523,Simple,Central Coast,14,4
KH0524,Simple,Central Coast,6,5
KH0525,Simple,Central Coast,55,14
KH0526,Simple,Central Coast,29,12
KH0527,Simple,Central Coast,35,9
KH0528,Simple,Central Coast,8,5
KH0529,Complex,Central Coast,273,16
KH0530,Simple,Central Coast,56,13
KH0531,Simple,Central Coast,4,4
KH0532,Simple,Central Coast,5,7
KH0533,Simple,Central Coast,14,1
KH0534,Simple,Central Coast,31,9
KH0535,Simple,Central Coast,96,9
KH0536,Simple,Central Coast,51,7
KH0537,Simple,Central Coast,27,6
KH0538,Simple,Central Coast,13,7
KH0539,Simple,Central Coast,27,10
KH0540,Simple,Central Coast,18,8
KH0541,Simple,Central Coast,20,7
KH0542,Simple,Central Coast,27,2
KH0543,Simple,Central Coast,43,15
KH0544,Simple,Central Coast,57,5
KH0545,Simple,Central Coast,15,8
KH0546,Simple,Central Coast,63,6
KH0547,Simple,Central Coast,9,2
KH0548,Simple,Central Coast,12,3
KH0549,Simple,Central Coast,136,24
KH0550,Simple,Central Coast,35,2
KH0551,Simple,Central Coast,22,2
KH0552,Simple,Central Coast,29,7
KH0553,Simple,Central Coast,9,1
KH0554,Simple,Central Coast,18,3
