kfg_id,has_pp,has_ip,has_cp,has_sp,has_gg,has_gsb,has_is,has_psn,has_adg,n_pp,n_ip,n_cp,n_pattern_types,n_cords,n_pendants,n_subsidiaries,n_groups,numeric_coverage,frac_broken,n_colors,region,creation_date,provenance_display,geo_zone
KH0112,1,0,1,0,0,0,0,0,1,3,0,1,3,48,0,0,16,1.0,0.08333333333333333,1,Unknown,11/11/2011,Pachacamac,Central Coast
KH0113,1,1,1,1,1,0,0,0,1,138,12,18,6,73,7,0,9,0.9452054794520548,0.0547945205479452,5,Unknown,11/11/2011,Ica,Ica & Paracas
KH0114,0,0,0,1,0,0,0,0,1,0,0,0,2,21,12,0,2,1.0,0.0,5,Unknown,11/11/2011,Pachacamac,Central Coast
KH0115,1,0,0,0,0,0,0,1,0,8,0,0,2,28,12,0,2,1.0,0.17857142857142858,6,Unknown,11/11/2011,Pachacamac,Central Coast
KH0116,1,0,1,0,0,0,0,0,0,19,0,8,2,20,2,0,3,1.0,0.0,2,Unknown,11/11/2011,Pachacamac,Central Coast
KH0117,1,0,0,1,0,0,0,0,0,5,0,0,2,71,28,0,5,0.9577464788732394,0.0,4,Unknown,11/11/2011,Ica,Ica & Paracas
KH0118,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,4,1.0,0.09523809523809523,1,"Central Coast, Peru",05/03/2013,Pachacamac,Central Coast
KH0119,1,0,0,0,0,0,0,0,1,1,0,0,2,22,10,0,2,0.9090909090909091,0.0,3,Unknown,11/11/2011,Ica,Ica & Paracas
KH0120,1,0,1,0,0,0,0,0,1,31,0,4,3,55,5,0,13,0.8,0.21818181818181817,5,Unknown,11/11/2011,Marquez,Central Coast
KH0121,1,0,0,0,0,0,0,0,1,19,0,0,2,29,0,0,8,0.896551724137931,0.034482758620689655,4,Unknown,11/11/2011,Marquez,Central Coast
KH0122,1,1,0,0,0,0,0,1,0,10,13,0,3,42,7,1,17,0.7380952380952381,0.0,4,Unknown,11/11/2011,Between Ica and Pisco,Ica & Paracas
KH0123,1,1,1,0,1,1,0,0,1,2625,203,159,6,287,0,0,69,0.7909407665505227,0.024390243902439025,5,Unknown,11/11/2011,Ica,Ica & Paracas
KH0124,1,0,1,0,0,0,0,0,0,8,0,1,2,20,0,0,2,0.95,0.0,1,Unknown,11/11/2011,Pachacamac,Central Coast
KH0125,0,0,0,0,0,0,0,1,1,0,0,0,2,11,4,0,3,1.0,0.0,1,Unknown,11/11/2011,Pachacamac,Central Coast
KH0126,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,11,0.023809523809523808,0.9523809523809523,5,Unknown,11/11/2011,Pachacamac,Central Coast
KH0127,1,1,1,0,0,0,0,0,1,321,2,9,4,163,0,0,17,0.6809815950920245,0.024539877300613498,3,Unknown,11/11/2011,Between Ica and Pisco,Ica & Paracas
KH0128,1,0,1,1,0,0,0,1,0,1313,0,33,4,357,18,0,4,0.49019607843137253,0.0392156862745098,7,Unknown,11/11/2011,Between Ica and Pisco,Ica & Paracas
KH0129,1,1,0,0,0,0,0,0,1,15,8,0,3,55,0,0,21,0.7636363636363637,0.0,6,Unknown,11/11/2011,Ica,Ica & Paracas
KH0130,1,0,0,0,0,0,0,0,0,1,0,0,1,13,0,0,2,0.9230769230769231,0.0,3,Unknown,11/11/2011,Ica,Ica & Paracas
KH0131,0,1,0,0,0,0,0,0,0,0,1,0,1,11,0,0,7,1.0,0.09090909090909091,3,Unknown,11/11/2011,Ica,Ica & Paracas
KH0132,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,3,0.8,0.25,1,Unknown,11/11/2011,Pachacamac,Central Coast
KH0133,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,1,0.8181818181818182,0.18181818181818182,4,Unknown,11/11/2011,Pachacamac,Central Coast
KH0134,0,1,1,0,0,0,0,0,0,0,7,5,2,36,4,0,4,1.0,0.0,5,Unknown,11/11/2011,Ica,Ica & Paracas
KH0135,1,1,0,0,0,0,0,0,0,39,4,0,2,281,1,0,80,0.07473309608540925,0.0071174377224199285,3,Unknown,11/11/2011,Pachacamac,Central Coast
KH0136,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,4,1.0,0.1111111111111111,1,Unknown,11/11/2011,Lima,Central Coast
KH0137,1,0,0,1,0,0,0,0,0,63,0,0,2,94,24,0,7,0.7446808510638298,0.0,7,Unknown,11/11/2011,Ica,Ica & Paracas
KH0138,1,1,1,0,0,0,0,0,0,33,1,2,3,35,0,0,7,0.8571428571428571,0.8285714285714286,3,Unknown,11/11/2011,Marquez,Central Coast
KH0139,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5,0,4,1.0,0.8571428571428571,3,Unknown,11/11/2011,Marquez,Central Coast
KH0141,1,1,1,1,1,0,0,1,0,406,37,6,6,157,44,9,25,0.8662420382165605,0.012738853503184714,11,Unknown,11/11/2011,Ica,Ica & Paracas
KH0142,1,0,0,0,1,0,0,0,0,3,0,0,2,6,0,0,2,0.8333333333333334,0.0,2,Unknown,11/11/2011,Nazca,Nazca & Far South
KH0143,1,1,1,0,0,1,0,1,0,1025,8,4,5,289,20,0,23,0.4844290657439446,0.20761245674740483,9,Unknown,11/11/2011,Nazca,Nazca & Far South
KH0144,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,1.0,0.0,4,Unknown,11/11/2011,Ica,Ica & Paracas
KH0145,0,0,0,1,1,0,0,1,0,0,0,0,3,28,12,0,2,0.9285714285714286,0.0,5,Unknown,11/11/2011,Near Lima,Central Coast
KH0147,1,1,1,1,0,0,1,1,0,176,8,9,6,287,141,0,18,0.7142857142857143,0.08710801393728224,3,Unknown,11/11/2011,Pachacamac,Central Coast
KH0148,1,0,0,0,0,0,0,0,0,4,0,0,1,15,4,0,2,0.6666666666666666,0.0,4,Unknown,11/11/2011,Marquez,Central Coast
KH0149,1,0,1,0,0,0,0,0,1,31,0,3,3,49,2,0,10,0.7551020408163265,0.40816326530612246,6,Unknown,11/11/2011,Marquez,Central Coast
KH0150,0,1,0,0,0,0,0,0,1,0,2,0,2,13,0,0,6,0.6153846153846154,0.0,2,Unknown,11/11/2011,Pachacamac,Central Coast
KH0151,1,0,0,0,0,0,0,0,0,2,0,0,1,23,1,0,3,0.9130434782608695,0.08695652173913043,5,Unknown,11/11/2011,Ica,Ica & Paracas
