kfg_id,n_cords,n_pendants,n_leaves,leaf_ratio,depth,mean_branching,branching_cv,branching_entropy,widest_level,balance_score,subtree_size_cv,beh_label,typology_label,geo_zone
KH0251,88,65,79,0.8977272727272727,2,0.2,4.0382783841251335,0.5083149555436682,0,0.0,1.278901420350766,B6,T1,Chachapoyas
KH0252,442,222,276,0.6244343891402715,2,0.9774774774774775,0.8489900159776402,1.6189661471263737,0,0.5736269420306312,0.4263730579693687,B4,T2,Chachapoyas
KH0253,122,97,98,0.8032786885245902,1,0.25773195876288657,1.7861690849412888,0.8689941021092663,0,0.6339817448890802,0.3660182551109198,B3,T1,Chachapoyas
KH0254,38,31,31,0.8157894736842105,1,0.22580645161290322,1.851640199545103,0.7706290693639406,0,0.6589083842943231,0.34109161570567686,B3,T1,Chachapoyas
KH0255,18,13,13,0.7222222222222222,1,0.38461538461538464,1.2649110640673518,0.961236604722876,0,0.6486358155368467,0.3513641844631533,B5,T1,Chachapoyas
KH0256,30,24,24,0.8,1,0.25,1.7320508075688772,0.8112781244591328,0,0.6535898384862245,0.34641016151377546,B6,T1,Chachapoyas
KH0257,162,136,143,0.8827160493827161,1,0.19117647058823528,3.9366281790535345,0.6250266484766633,0,0.36819547743585257,0.6318045225641474,B2,T1,Chachapoyas
KH0258,314,266,278,0.8853503184713376,1,0.18045112781954886,2.746525582946166,0.7102508662889789,0,0.5801489554731976,0.41985104452680244,B3,T1,Chachapoyas
KH0259,20,10,10,0.5,1,1.0,0.0,0.0,0,1.0,0.0,B3,T1,Ica & Paracas
KH0260,19,10,10,0.5263157894736842,1,0.9,0.33333333333333337,0.46899559358928117,0,0.8421052631578947,0.15789473684210525,B3,T1,Ica & Paracas
KH0261,46,46,46,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,
KH0262,17,14,14,0.8235294117647058,1,0.21428571428571427,1.9148542155126762,0.74959525725948,0,0.6620845502036452,0.33791544979635474,B2,T1,Ica & Paracas
KH0263,91,76,76,0.8351648351648352,1,0.19736842105263158,2.0165977949672227,0.7166336117927454,0,0.6675937700603478,0.33240622993965213,B2,T1,Ica & Paracas
KH0264,75,35,39,0.52,2,1.1142857142857143,0.2855263775810268,0.5127091420308771,1,0.8367006838144548,0.16329931618554522,B2,T1,Ica & Paracas
