khipu_id,num_nodes,num_edges,avg_degree,max_degree,density,depth,width,avg_branching,num_roots,num_leaves,has_numeric,has_color,avg_numeric_value,std_numeric_value
1000111,12,11,1.8333333333333333,9,0.08333333333333333,2,9,5.5,1,10,0.4166666666666667,0.9166666666666666,49.6,54.34556099627641
1000112,5,4,1.6,4,0.2,1,4,4.0,1,4,0.8,0.8,2788.5,4806.731815901528
1000113,36,35,1.9444444444444444,35,0.027777777777777776,1,35,35.0,1,35,0.9722222222222222,0.9444444444444444,7706870.371428572,25695406.424819432
1000114,15,14,1.8666666666666667,13,0.06666666666666667,2,13,7.0,1,13,0.7333333333333333,0.9333333333333333,1010215.0909090909,3194218.8650889406
1000115,191,190,1.9895287958115184,180,0.005235602094240838,2,180,17.272727272727273,1,180,0.9738219895287958,0.9895287958115183,5396275.854838709,23838454.73023283
1000116,21,20,1.9047619047619047,20,0.047619047619047616,1,20,20.0,1,20,0.9523809523809523,0.9523809523809523,12.1,0.6244997998398398
1000117,19,18,1.894736842105263,12,0.05263157894736842,2,12,2.5714285714285716,1,12,0.7894736842105263,0.9473684210526315,4.4,1.854723699099141
1000118,31,30,1.935483870967742,30,0.03225806451612903,1,30,30.0,1,30,0.967741935483871,0.967741935483871,27937481.8,61511259.42797956
1000119,63,62,1.9682539682539681,62,0.015873015873015872,1,62,62.0,1,62,0.8888888888888888,0.9841269841269841,2733404.339285714,14824187.925132735
1000120,91,90,1.978021978021978,88,0.01098901098901099,2,88,30.0,1,88,0.8241758241758241,0.989010989010989,6256922.426666667,25604824.338723026
1000121,124,123,1.9838709677419355,110,0.008064516129032258,2,110,8.785714285714286,1,110,0.8548387096774194,0.9919354838709677,1052.1415094339623,10740.93785427553
1000122,19,18,1.894736842105263,18,0.05263157894736842,1,18,18.0,1,18,0.9473684210526315,0.9473684210526315,700152.1111111111,2537579.92653026
1000123,21,20,1.9047619047619047,20,0.047619047619047616,1,20,20.0,1,20,0.9523809523809523,0.9523809523809523,29019711.45,47519787.34533681
