kfg_id,provenance_display,n_cords,n_pattern_types,cluster,nn_top_zone,nn_top_weight,nn_zones,nn_dists
KH0104,Unknown,89,5,0,Central Coast,1.0,Central Coast|Central Coast|Central Coast|Central Coast|Central Coast,0.687|1.008|1.035|1.080|1.120
KH0105,Peru (unknown),56,4,0,Central Coast,0.726,Central Coast|Ica & Paracas|Central Coast|Central Coast|Central Coast,0.277|0.284|0.416|0.580|0.623
KH0106,Peru (unknown),70,4,0,Central Coast,1.0,Central Coast|Central Coast|Central Coast|Central Coast|Central Coast,0.726|1.020|1.043|1.051|1.056
KH0107,Peru (unknown),51,0,0,Central Coast,0.58,Ica & Paracas|Central Coast|Arica & N. Chile|Central Coast|Central Coast,0.246|0.260|0.270|0.289|0.289
KH0169,Unknown,40,3,0,Central Coast,0.55,Central Coast|Central Coast|Ica & Paracas|Ica & Paracas|Cañete–Pisco,0.389|1.010|1.025|1.027|1.038
KH0173,Unknown,34,2,0,Cañete–Pisco,0.481,Cañete–Pisco|Central Coast|Cañete–Pisco|Central Coast|Ica & Paracas,0.553|0.942|1.016|1.022|1.027
KH0185,Unknown,18,1,0,Ica & Paracas,0.471,Central Coast|Cañete–Pisco|Ica & Paracas|Ica & Paracas|Ica & Paracas,0.132|0.183|0.233|0.272|0.273
KH0186,Unknown,30,2,0,Ica & Paracas,0.402,Ica & Paracas|Ica & Paracas|Central Coast|Central Coast|Cañete–Pisco,1.014|1.022|1.023|1.024|1.034
KH0198,Unknown,149,6,1,Cañete–Pisco,0.415,Ica & Paracas|Cañete–Pisco|Cañete–Pisco|Chachapoyas|Central Coast,1.036|1.057|1.080|1.167|1.226
KH0199,Unknown,5,0,0,Cañete–Pisco,1.0,Cañete–Pisco|Cañete–Pisco|Central Coast|Ica & Paracas|Cañete–Pisco,0.000|0.007|0.007|0.007|0.007
KH0200,Unknown,22,0,0,Central Coast,0.619,Central Coast|Arica & N. Chile|Central Coast|Central Coast|Ica & Paracas,0.522|0.618|0.620|0.695|0.696
KH0201,Unknown,7,1,0,Central Coast,0.718,Central Coast|Central Coast|Central Coast|Arica & N. Chile|Ica & Paracas,0.183|0.221|0.242|0.339|0.386
KH0202,Unknown,9,1,0,Ica & Paracas,0.762,Ica & Paracas|Ica & Paracas|Central Coast|Cañete–Pisco|Nazca & Far South,0.041|0.106|0.153|0.393|0.678
KH0203,Unknown,30,4,0,Chachapoyas,0.648,Chachapoyas|Central Coast|Central Coast|Chachapoyas|Chachapoyas,0.604|1.044|1.088|1.088|1.140
KH0204,Unknown,64,3,0,Central Coast,0.636,Central Coast|Ica & Paracas|Central Coast|Central Coast|Ica & Paracas,0.679|1.002|1.024|1.036|1.046
KH0208,Unknown,101,0,0,Central Coast,1.0,Central Coast|Central Coast|Central Coast|Central Coast|Central Coast,0.425|0.512|0.523|0.550|0.552
KH0216,Unknown,19,1,0,Cañete–Pisco,0.706,Cañete–Pisco|Ica & Paracas|Central Coast|Ica & Paracas|Cañete–Pisco,0.107|0.569|0.645|1.001|1.001
KH0217,Unknown,86,4,0,Ica & Paracas,0.524,Ica & Paracas|Central Coast|Ica & Paracas|Central Coast|Central Coast,0.217|0.351|0.597|0.697|0.703
KH0220,Unknown,30,2,0,Central Coast,0.461,Central Coast|Ica & Paracas|Central Coast|Nazca & Far South|Ica & Paracas,0.746|1.051|1.075|1.154|1.190
