kfg_id,parent_name,parent_val,children_sum,n_children,n_nonzero_children,n_zero_children,children_mean,children_max,ratio,compliance_class
KH0015,p25,54,15,1,1,0,15.0,15,0.2777777777777778,sub
KH0015,p26,37,115,1,1,0,115.0,115,3.108108108108108,supra
KH0015,p26s1,115,22,1,1,0,22.0,22,0.19130434782608696,sub
KH0015,p27,110,120,1,1,0,120.0,120,1.0909090909090908,partial_supra
KH0015,p31,13,19,1,1,0,19.0,19,1.4615384615384615,partial_supra
KH0015,p32,90,54,1,1,0,54.0,54,0.6,partial_sub
KH0015,p33,150,52,1,1,0,52.0,52,0.3466666666666667,sub
KH0015,p34,28,33,1,1,0,33.0,33,1.1785714285714286,partial_supra
KH0015,p34s1,33,67,1,1,0,67.0,67,2.0303030303030303,supra
KH0015,p35,28,31,1,1,0,31.0,31,1.1071428571428572,partial_supra
KH0015,p4,92,64,1,1,0,64.0,64,0.6956521739130435,partial_sub
KH0015,p42,24,114,1,1,0,114.0,114,4.75,supra
KH0015,p42s1,114,50,1,1,0,50.0,50,0.43859649122807015,sub
KH0015,p5,37,74,1,1,0,74.0,74,2.0,supra
KH0015,p7,24,64,1,1,0,64.0,64,2.6666666666666665,supra
KH0015,p8,104,48,1,1,0,48.0,48,0.46153846153846156,sub
KH0015,p9,28,31,1,1,0,31.0,31,1.1071428571428572,partial_supra
KH0016,p1,0,0,1,0,1,0.0,0,,trivial_parent_zero
KH0016,p1s1,0,0,9,0,9,0.0,0,,trivial_parent_zero
KH0017,p1,12,169,4,4,0,42.25,95,14.083333333333334,supra
KH0018,p1,20,1,1,1,0,1.0,1,0.05,sub
KH0018,p10,0,2,1,1,0,2.0,2,,trivial_parent_zero
KH0018,p11,3,0,1,0,1,0.0,0,0.0,children_all_zero
KH0018,p12,1,1,1,1,0,1.0,1,1.0,compliant
KH0018,p13,0,4,1,1,0,4.0,4,,trivial_parent_zero
KH0018,p14,0,0,1,0,1,0.0,0,,trivial_parent_zero
KH0018,p15,1,0,1,0,1,0.0,0,0.0,children_all_zero
KH0018,p16,1,3,1,1,0,3.0,3,3.0,supra
KH0018,p17,1,0,1,0,1,0.0,0,0.0,children_all_zero
KH0018,p18,4,1,1,1,0,1.0,1,0.25,sub
KH0018,p19,1,0,1,0,1,0.0,0,0.0,children_all_zero
KH0018,p2,1,5,1,1,0,5.0,5,5.0,supra
KH0018,p3,2,1,1,1,0,1.0,1,0.5,partial_sub
KH0018,p4,2,0,1,0,1,0.0,0,0.0,children_all_zero
KH0018,p5,2,0,1,0,1,0.0,0,0.0,children_all_zero
KH0018,p6,1,0,1,0,1,0.0,0,0.0,children_all_zero
KH0018,p7,4,1,1,1,0,1.0,1,0.25,sub
KH0018,p8,7,1,1,1,0,1.0,1,0.14285714285714285,sub
KH0018,p9,6,0,1,0,1,0.0,0,0.0,children_all_zero
KH0019,p4,70,60,1,1,0,60.0,60,0.8571428571428571,partial_sub
KH0022,p1,22,5,2,1,1,2.5,5,0.22727272727272727,sub
KH0022,p2,8,2,2,1,1,1.0,2,0.25,sub
KH0022,p28,22,5,1,1,0,5.0,5,0.22727272727272727,sub
