khipu_id,kfg_pp,kfg_ip,kfg_cp,kfg_sp,kfg_gg,kfg_gsb,kfg_is,kfg_psn,kfg_adg,kfg_any,kcat_pp,kcat_ip,kcat_cp,kcat_sp,kcat_gg,kcat_gsb,kcat_is,kcat_psn,kcat_adg,kcat_any,_merge
KH0247,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,both
KH0248,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,both
KH0249,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,both
KH0250,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,both
KH0251,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,both
KH0252,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,both
KH0253,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,both
KH0254,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,both
KH0255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0256,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,both
KH0257,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,both
KH0258,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,both
KH0259,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,both
KH0260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,both
KH0261,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,both
KH0262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
KH0263,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,both
KH0264,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,both
KH0265,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,both
KH0266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,both
