color_code,n_entries,pct_entries,n_khipus,pct_khipus
YB(0.0-7.0)/W(7.0-35.0),2,0.0026226756537019065,1,0.14104372355430184
DB(0.0-3.0)/W(3.0-40.0),2,0.0026226756537019065,1,0.14104372355430184
DB(0.0-4.0)/W(4.0-36.0),2,0.0026226756537019065,1,0.14104372355430184
B(0.0-19.0)/B,2,0.0026226756537019065,1,0.14104372355430184
B(0.0-19.5)/LB(19.5-42.0),2,0.0026226756537019065,1,0.14104372355430184
YB(0.0-8.5)/AB(8.5-40.0),2,0.0026226756537019065,1,0.14104372355430184
DB(0.0-4.0)/W(4.0-39.5),2,0.0026226756537019065,1,0.14104372355430184
GG(0.0-12.5)/AB,2,0.0026226756537019065,1,0.14104372355430184
VB(5.0-7.0)/W(7.0-32.5),2,0.0026226756537019065,1,0.14104372355430184
GB-HB,2,0.0026226756537019065,1,0.14104372355430184
KB(0.0-4.0)/AB,2,0.0026226756537019065,1,0.14104372355430184
VB(5.0-7.0)/DB(7.0-34.5),2,0.0026226756537019065,1,0.14104372355430184
VB(5.0-7.0)/W(7.0-32.0),2,0.0026226756537019065,1,0.14104372355430184
DB(0.0-3.0)/W(3.0-36.0),2,0.0026226756537019065,1,0.14104372355430184
VB(5.0-7.0)/W(7.0-27.5),2,0.0026226756537019065,1,0.14104372355430184
KB(0.0-5.0)/BS,2,0.0026226756537019065,1,0.14104372355430184
YB(0.0-9.0)/0G(9.0-22.0),2,0.0026226756537019065,1,0.14104372355430184
VB(5.0-7.0)/BS(7.0-34.0),2,0.0026226756537019065,1,0.14104372355430184
B(0.0-13.0)/KB(13.0-36.5),2,0.0026226756537019065,1,0.14104372355430184
B-LC,2,0.0026226756537019065,1,0.14104372355430184
AB(0.0-33.5)/SY,2,0.0026226756537019065,1,0.14104372355430184
W(0.0-24.0)/W,2,0.0026226756537019065,2,0.2820874471086037
W(0.0-23.5)/W,2,0.0026226756537019065,2,0.2820874471086037
W(0.0-23.0)/W,2,0.0026226756537019065,2,0.2820874471086037
W(0.0-23.0)/MB(23.0-32.0),2,0.0026226756537019065,1,0.14104372355430184
PB(0.0-6.5)/YB(6.5-13.0),2,0.0026226756537019065,2,0.2820874471086037
BS(5.0-7.0)/W(7.0-30.0),2,0.0026226756537019065,1,0.14104372355430184
HB(0.0-1.5)/W(1.5-41.5),2,0.0026226756537019065,2,0.2820874471086037
W(0.0-18.0)/W,2,0.0026226756537019065,2,0.2820874471086037
HB(0.0-2.0)/W(2.0-32.5),2,0.0026226756537019065,1,0.14104372355430184
BS(5.0-7.0)/BS(7.0-34.0),2,0.0026226756537019065,1,0.14104372355430184
BL-NB,2,0.0026226756537019065,1,0.14104372355430184
0G(5.0-7.0)/W(7.0-33.0),2,0.0026226756537019065,1,0.14104372355430184
W(0.0-18.5)/KB(18.5-19.0),2,0.0026226756537019065,1,0.14104372355430184
PG-RM,2,0.0026226756537019065,2,0.2820874471086037
W(0.0-19.5)/KB(19.5-20.0),2,0.0026226756537019065,1,0.14104372355430184
W(0.0-2.0)/W,2,0.0026226756537019065,2,0.2820874471086037
BS(0.0-2.0)/W(2.0-34.0),2,0.0026226756537019065,1,0.14104372355430184
BS(0.0-2.0)/W(2.0-38.0),2,0.0026226756537019065,1,0.14104372355430184
BS(0.0-2.0)/W(2.0-38.5),2,0.0026226756537019065,2,0.2820874471086037
HB(0.0-14.0)/CB(14.0-37.5),2,0.0026226756537019065,1,0.14104372355430184
0G(5.0-7.0)/W(7.0-32.0),2,0.0026226756537019065,1,0.14104372355430184
BS(0.0-2.0)/W(2.0-40.0),2,0.0026226756537019065,1,0.14104372355430184
BS(0.0-2.0)/W(2.0-40.5),2,0.0026226756537019065,1,0.14104372355430184
BS(0.0-2.0)/W(2.0-43.0),2,0.0026226756537019065,1,0.14104372355430184
HB(0.0-12.0)/KB(12.0-41.0),2,0.0026226756537019065,1,0.14104372355430184
W(0.0-2.5)/RM(2.5-3.0)/W(3.0-14.0),2,0.0026226756537019065,1,0.14104372355430184
BS(0.0-5.0)/PB(5.0-9.0),2,0.0026226756537019065,2,0.2820874471086037
0G(5.0-7.0)/W(7.0-30.5),2,0.0026226756537019065,1,0.14104372355430184
