cord_id,kfg_id,cord_name,hierarchy_level,value_num,primary_color,is_banded,attachment,twist,beh_label,typology_label
246,KH0001,p81,0,26,W,False,V,Z,B4,T1
247,KH0001,p81s1,1,99,W,False,U,Z,B4,T1
248,KH0001,p81s2,1,51,W,True,U,Z,B4,T1
249,KH0001,p82,0,46,W,True,V,Z,B4,T1
250,KH0001,p82s1,1,138,W,False,U,Z,B4,T1
251,KH0001,p82s1s1,2,59,W,True,U,Z,B4,T1
252,KH0001,p83,0,26,W,False,V,Z,B4,T1
253,KH0001,p84,0,21,W,False,V,Z,B4,T1
254,KH0001,p84s1,1,52,W,False,U,Z,B4,T1
255,KH0001,p84s1s1,2,39,W,True,U,Z,B4,T1
256,KH0001,p85,0,126,W,False,V,Z,B4,T1
257,KH0001,p86,0,110,W,False,V,Z,B4,T1
258,KH0001,p86s1,1,19,W,False,U,Z,B4,T1
259,KH0001,p87,0,128,W,False,V,Z,B4,T1
260,KH0001,p87s1,1,21,W,False,U,Z,B4,T1
261,KH0001,p88,0,50,W,False,V,Z,B4,T1
262,KH0001,p89,0,121,W,False,V,Z,B4,T1
263,KH0001,p89s1,1,34,W,False,U,Z,B4,T1
264,KH0001,p89s1s1,2,71,W,True,U,Z,B4,T1
265,KH0001,p90,0,190,W,False,V,Z,B4,T1
266,KH0001,p91,0,69,W,False,V,Z,B4,T1
267,KH0001,p92,0,76,W,False,V,Z,B4,T1
268,KH0001,p93,0,25,W,False,V,Z,B4,T1
269,KH0001,p93s1,1,125,W,False,U,Z,B4,T1
270,KH0001,p94,0,127,W,False,V,Z,B4,T1
271,KH0001,p94s1,1,130,W,False,U,Z,B4,T1
272,KH0001,p94s1s1,2,31,W,True,U,Z,B4,T1
273,KH0001,p94s1s1s1,3,147,PB,True,U,Z,B4,T1
274,KH0001,p95,0,47,W,False,V,Z,B4,T1
275,KH0001,p95s1,1,124,W,False,U,Z,B4,T1
276,KH0001,p95s1s1,2,35,W,True,U,Z,B4,T1
277,KH0001,p96,0,68,W,False,V,Z,B4,T1
278,KH0001,p96s1,1,44,VR,False,U,Z,B4,T1
279,KH0001,p96s1s1,2,79,W,True,U,Z,B4,T1
280,KH0001,p97,0,13,W,True,V,Z,B4,T1
281,KH0001,p97s1,1,110,W,False,U,Z,B4,T1
282,KH0001,p98,0,9,W,False,U,U,B4,T1
283,KH0002,p1,0,4,MB,False,U,U,B4,T1
284,KH0002,p1s1,1,1,MB,False,U,U,B4,T1
285,KH0002,p2,0,39,MB,False,U,U,B4,T1
286,KH0002,p2s1,1,2,YB,False,U,U,B4,T1
287,KH0002,p2s2,1,1,W,False,U,U,B4,T1
288,KH0002,p3,0,4,MB,False,U,U,B4,T1
289,KH0002,p3s1,1,4,MB,False,U,U,B4,T1
290,KH0002,p4,0,40,MB,False,U,U,B4,T1
291,KH0002,p4s1,1,17,MB,False,U,U,B4,T1
292,KH0002,p4s1s1,2,5,W,False,U,U,B4,T1
293,KH0002,p5,0,8,MB,False,U,U,B4,T1
294,KH0002,p5s1,1,5,YB,False,U,U,B4,T1
295,KH0002,p6,0,6,MB,False,U,U,B4,T1
296,KH0002,p6s1,1,2,YB,False,U,U,B4,T1
297,KH0002,p7,0,101,MB,False,T,U,B4,T1
298,KH0002,p7s1,1,6,W,False,T,U,B4,T1
299,KH0002,p8,0,4,MB,False,U,U,B4,T1
300,KH0002,p9,0,20,MB,False,U,U,B4,T1
301,KH0002,p9s1,1,20,YB,False,U,U,B4,T1
302,KH0002,p9s2,1,6,MB,False,U,U,B4,T1
303,KH0002,p10,0,7,MB,False,U,U,B4,T1
304,KH0002,p10s1,1,1,W(0.0-4.0)/MB(4.0-9.0),False,U,U,B4,T1
305,KH0002,p10s2,1,4,YY,False,U,U,B4,T1
306,KH0002,p11,0,38,MB,False,U,U,B4,T1
307,KH0002,p11s1,1,5,YY,False,U,U,B4,T1
308,KH0002,p11s2,1,2,MB,False,U,U,B4,T1
