kfg_id,typology_label,geo_zone,provenance_display,beh_cluster,beh_label,value_register,pct_nonzero,pct_round5,entropy_per_cord,max_hier_level,knot_L_ratio,knot_E_ratio,has_pp,has_ip,has_cp,has_sp,has_gg,has_gsb,has_is,has_psn,has_adg
KH0655,T1,Cañete–Pisco,Huacones,0,B1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
KH0656,T1,Cañete–Pisco,Huacones,4,B5,24.0,1.0,0.08333333333333333,0.2709690972823186,0,0.4166666666666667,0.041666666666666664,0,0,0,0,0,0,0,0,0
KH0657,T1,Cañete–Pisco,Huacones,4,B5,31.5,1.0,0.16666666666666666,0.2987468750600964,1,0.6785714285714286,0.03571428571428571,0,0,0,0,0,0,0,0,0
KH0658,T1,Cañete–Pisco,Huacones,5,B6,37.0,0.8,0.625,0.34375,1,0.18181818181818182,0.09090909090909091,0,0,0,0,0,0,0,0,1
KH0659,T1,Cañete–Pisco,Huacones,4,B5,5.0,1.0,0.4,0.46438561897747255,0,0.8,0.0,0,0,0,0,0,0,0,0,0
KH0660,T1,Cañete–Pisco,Huacones,4,B5,4.0,0.6363636363636364,0.0,0.36023437662047414,1,0.7272727272727273,0.2727272727272727,0,0,0,0,0,1,0,0,0
KH0661,T1,Cañete–Pisco,Huacones,4,B5,65.0,1.0,0.0,0.375,2,0.47368421052631576,0.05263157894736842,0,0,0,0,0,0,0,0,0
KH0662,T1,Cañete–Pisco,Huacones,4,B5,4.0,0.5,0.0,0.375,0,0.6,0.2,0,0,0,0,0,0,0,0,0
KH0663,T1,Cañete–Pisco,Huacones,4,B5,7.0,0.8571428571428571,0.0,0.31971597234241494,1,0.4444444444444444,0.3333333333333333,0,0,0,0,0,0,0,0,0
KH0664,T1,,Unknown,5,B6,1056.5,0.7391304347826086,0.5,0.14444094861808962,0,0.2391304347826087,0.010869565217391304,0,1,0,0,0,0,0,0,0
KH0665,T2,,Unknown,3,B4,2.0,0.4011299435028249,0.09154929577464789,0.022494840255170404,3,0.4551282051282051,0.3974358974358974,1,1,0,1,0,0,0,0,0
KH0666,T1,,Unknown,2,B3,6.0,1.0,0.17647058823529413,0.1989164993123037,0,0.6086956521739131,0.08695652173913043,1,0,1,0,0,0,0,0,0
KH0667,T1,,Unknown,2,B3,2.0,0.7142857142857143,0.1259259259259259,0.024054365509238305,1,0.5503355704697986,0.18120805369127516,1,1,1,0,1,0,0,1,0
KH0668,T1,Central Coast,Rimac Valley,4,B5,104.0,0.8333333333333334,0.0,0.3043856189774725,0,0.25,0.16666666666666666,1,1,0,0,1,0,0,0,0
