khipu_id,wm_load,chunks_required,n_boundaries,boundary_reduction,exceeds_capacity,depth,num_cords,avg_branching
1000352,13.04514198523274,7.857142857142857,4,0.6965784284662087,True,3.0,55,2.8947368421052637
1000353,9.497613672172402,4.428571428571429,10,1.0378294855911891,False,3.0,31,3.1
1000354,2.893356666315934,0.5714285714285714,0,0.0,False,1.0,4,4.0
1000355,3.5245112497836533,1.0,2,0.4754887502163468,False,1.0,7,7.0
1000356,9.66297886911509,4.0,11,1.0754887502163468,False,2.0,28,9.333333333333334
1000357,4.0,1.0,0,0.0,False,1.0,7,7.0
1000358,10.18508921711264,4.714285714285714,6,0.8422064766172812,False,3.0,33,3.3
1000359,27.157464389393063,21.285714285714285,22,1.357068586817104,True,1.0,149,149.0
1000361,57.160483063677454,52.857142857142854,39,1.5965784284662088,True,2.0,370,6.727272727272728
1000363,28.587628041431817,23.428571428571427,163,2.207265601385425,True,1.0,164,164.0
1000365,16.14974711950468,10.0,0,0.0,True,1.0,70,70.0
1000366,21.41637742817649,13.714285714285714,38,1.5856206656586747,True,2.0,96,24.0
1000367,13.232223560864034,8.571428571428571,0,0.0,True,3.0,60,1.935483870967742
1000368,65.31386775932575,57.714285714285715,151,2.1743782540330754,True,4.0,404,4.43956043956044
1000369,35.50024697630893,24.571428571428573,91,1.9570685868171038,True,2.0,172,86.0
1000371,27.886998879391584,23.285714285714285,61,1.7862588931160623,True,2.0,163,8.15
1000374,19.523561956057012,13.0,0,0.0,True,1.0,91,91.0
1000375,22.230954434839873,14.0,0,0.0,True,2.0,98,16.333333333333332
1000376,33.21413160136892,25.714285714285715,0,0.0,True,1.0,180,180.0
1000377,12.772427618346153,6.428571428571429,1,0.3,False,2.0,45,9.0
1000378,5.606890595608519,2.0,1,0.3,False,1.0,14,14.0
1000380,32.62571646966836,26.857142857142858,66,1.8198267571373314,True,4.0,188,2.7246376811594204
1000381,18.063932333998107,12.714285714285714,13,1.1422064766172813,True,1.0,89,89.0
1000382,16.427350969371552,10.857142857142858,4,0.6965784284662087,True,1.0,76,76.0
1000383,23.286552423699,16.428571428571427,0,0.0,True,1.0,115,115.0
1000385,19.9327781916134,14.0,4,0.6965784284662087,True,1.0,98,98.0
1000386,8.177455275612107,4.571428571428571,10,1.0378294855911891,False,2.0,32,4.0
1000387,10.749112242548776,4.714285714285714,10,1.0378294855911891,False,3.0,33,4.125
1000388,3.6240607186126517,0.7142857142857143,3,0.6,False,3.0,5,1.25
1000389,3.7127821442994544,1.1428571428571428,3,0.6,False,2.0,8,2.0
1000390,28.06944223562773,19.428571428571427,41,1.6176952268336282,True,2.0,136,34.0
1000392,5.540724663885119,1.5714285714285714,2,0.4754887502163468,False,2.0,11,3.6666666666666665
1000393,6.298496430013741,2.4285714285714284,1,0.3,False,1.0,17,17.0
1000395,6.142857142857142,2.142857142857143,0,0.0,False,1.0,15,15.0
1000396,37.504689304559875,31.571428571428573,33,1.5262388523751016,True,3.0,221,4.604166666666667
1000397,7.360216810145478,3.5714285714285716,1,0.3,False,2.0,25,3.125
1000398,9.3731118291113,5.0,14,1.1720671786825556,False,2.0,35,5.833333333333333
1000399,7.2494602799216175,2.857142857142857,0,0.0,False,1.0,20,20.0
1000400,15.888360514243848,8.428571428571429,7,0.8999999999999999,True,3.0,59,5.9
1000401,24.113553818410193,19.0,30,1.4862588931160625,True,3.0,133,3.5945945945945947
1000402,8.85907055695861,4.714285714285714,1,0.3,False,2.0,33,3.6666666666666665
1000403,16.63859451867946,9.428571428571429,3,0.6,True,3.0,66,5.076923076923077
1000404,6.463169561326392,2.857142857142857,10,1.0378294855911891,False,2.0,20,4.0
1000405,8.141353572870884,3.5714285714285716,3,0.6,False,2.0,25,5.0
1000406,22.09668181599989,17.857142857142858,23,1.3754887502163469,True,3.0,125,2.6595744680851063
1000407,23.99808464982028,14.857142857142858,14,1.1720671786825556,True,2.0,104,34.666666666666664
1000408,10.12894395145505,6.714285714285714,40,1.6072656013854252,False,2.0,47,4.7
1000409,11.042004239110746,4.714285714285714,6,0.8422064766172812,False,2.0,33,11.0
1000410,4.301864009649856,2.0,14,1.1720671786825556,False,2.0,14,2.333333333333333
1000411,2.5237594647905235,0.7142857142857143,5,0.7754887502163468,False,1.0,5,5.0
1000412,4.0,1.0,0,0.0,False,1.0,7,7.0
1000413,43.33579471770251,38.0,22,1.357068586817104,True,3.0,266,3.6944444444444446
1000414,4.543003286028327,1.5714285714285714,6,0.8422064766172812,False,2.0,11,2.75
1000415,11.494513625440181,8.285714285714286,22,1.357068586817104,True,2.0,58,3.8666666666666663
1000416,4.045796570591445,1.4285714285714286,6,0.8422064766172812,False,1.0,10,10.0
1000417,10.781203575755509,3.5714285714285716,1,0.3,False,2.0,25,12.5
1000418,20.499430634594287,13.0,22,1.357068586817104,True,4.0,91,3.64
1000419,20.314198556472842,13.714285714285714,0,0.0,True,1.0,96,96.0
1000420,4.734823416925963,2.0,14,1.1720671786825556,False,1.0,14,14.0
1000421,11.479530181697147,4.428571428571429,10,1.0378294855911891,False,2.0,31,15.5
1000422,18.59879742712469,13.714285714285714,17,1.2509775004326935,True,2.0,96,7.384615384615385
1000423,13.702282621466523,7.285714285714286,21,1.3378294855911892,True,4.0,51,2.833333333333333
1000424,7.517358695528328,3.857142857142857,7,0.8999999999999999,False,2.0,27,3.857142857142857
1000425,5.335490111177327,1.8571428571428572,4,0.6965784284662087,False,2.0,13,3.25
1000426,8.727705992325419,3.857142857142857,10,1.0378294855911891,False,2.0,27,6.75
1000427,7.874850142962362,2.5714285714285716,4,0.6965784284662087,False,3.0,18,3.0
1000428,6.05026780639154,2.857142857142857,10,1.0378294855911891,False,2.0,20,3.333333333333333
1000429,7.367919350734253,3.857142857142857,19,1.2965784284662087,False,1.0,27,27.0
1000430,8.73607606289827,6.142857142857143,14,1.1720671786825556,False,2.0,43,2.6875
1000431,14.297261658413841,8.142857142857142,12,1.1101319154423277,True,2.0,57,11.4
1000432,8.111150932971553,2.142857142857143,5,0.7754887502163468,False,3.0,15,3.75
1000433,14.980520674872071,9.142857142857142,17,1.2509775004326935,True,2.0,64,10.666666666666666
1000434,4.607642380601648,1.2857142857142858,0,0.0,False,1.0,9,9.0
1000435,4.769866456795321,1.7142857142857142,2,0.4754887502163468,False,2.0,12,2.4
