khipu_id,deviation_type,numeric_deviation,structural_deviation,chromatic_deviation,deviation_count,anomaly_score,is_anomaly,n_colors,color_entropy
1000613,chromatic,False,False,True,1,-0.4092287511643011,False,8,2.3187217644657574
1000614,none,False,False,False,0,-0.4425993749361926,False,8,2.0554218512379725
1000615,none,False,False,False,0,-0.408141590098353,False,4,1.473186467415643
1000616,none,False,False,False,0,-0.4323604194742356,False,7,2.054325625392903
1000617,chromatic,False,False,True,1,-0.4061958036893237,False,8,2.914222632877738
1000618,chromatic,False,False,True,1,-0.3966318815728042,False,13,3.182057136270673
1000619,none,False,False,False,0,-0.4003457531594346,False,7,2.011160026616656
1000620,none,False,False,False,0,-0.3677715360058864,False,4,1.4913146564593205
1000621,none,False,False,False,0,-0.3714761227133877,False,2,0.26676498751448696
1000622,none,False,False,False,0,-0.4343706766311935,False,6,2.3062922827849768
1000623,none,False,False,False,0,-0.4844640063755994,False,5,1.6014165540065166
1000624,structural,False,True,False,1,-0.4658727885497281,False,6,1.922308975030709
1000625,structural,False,True,False,1,-0.3732748919816672,False,8,2.749730907969538
1000626,structural,False,True,False,1,-0.4628612879388259,False,5,2.235926349907685
1000627,none,False,False,False,0,-0.388566663526426,False,2,0.9910760595496831
1000628,none,False,False,False,0,-0.3587698243730138,False,10,2.750296170660804
1000629,none,False,False,False,0,-0.3930568719709309,False,13,2.739954987575209
1000630,none,False,False,False,0,-0.3565213435886988,False,2,0.5916727782937884
1000631,hybrid,True,True,False,2,-0.4947803853154175,False,5,2.155639061508219
1000632,none,False,False,False,0,-0.4161223499589488,False,3,1.378783493053367
1000633,none,False,False,False,0,-0.3673964209187373,False,12,2.774253874477486
1000634,none,False,False,False,0,-0.4731732839503385,False,7,1.694312050821069
1000635,none,False,False,False,0,-0.3969572754602486,False,13,2.677205625194056
1000636,structural,False,True,False,1,-0.3562416535791281,False,3,1.1400457977490999
1000637,none,False,False,False,0,-0.3645886586627349,False,11,2.4972454121391903
1000638,none,False,False,False,0,-0.3656177265314819,False,6,2.5812414843936855
1000639,none,False,False,False,0,-0.3828027089051438,False,1,0.0
1000640,none,False,False,False,0,-0.3829033636206926,False,1,0.0
1000641,none,False,False,False,0,-0.4370431639713672,False,2,0.6500224213598151
1000642,none,False,False,False,0,-0.3982964648594441,False,5,1.9852281353129038
1000643,structural,False,True,False,1,-0.4274288560940787,False,2,0.9852281357457124
1000644,structural,False,True,False,1,-0.4816751512605939,False,2,0.7219280945988233
1000645,none,False,False,False,0,-0.3897467679041144,False,5,2.2295739577922746
1000646,none,False,False,False,0,-0.3739835303783324,False,4,0.8743095540634882
1000647,none,False,False,False,0,-0.4060098068897496,False,8,2.168925283155628
1000648,none,False,False,False,0,-0.486941504950459,False,8,2.50982448602611
1000649,hybrid,False,True,True,2,-0.3561232107111139,False,11,3.0998625038086787
1000650,chromatic,False,False,True,1,-0.4534563823732165,False,13,2.801358784552351
1000651,structural,False,True,False,1,-0.3573589763887907,False,4,1.579416007207282
1000652,none,False,False,False,0,-0.3677725583848386,False,4,1.8256051984398654
1000653,none,False,False,False,0,-0.4151847187260025,False,4,1.8423709926000305
1000654,none,False,False,False,0,-0.3951038201091121,False,9,2.644076632347913
1000655,structural,False,True,False,1,-0.3586618507182614,False,7,2.3655962293477155
1000656,structural,False,True,False,1,-0.3650236462239142,False,8,2.2760898473791182
1000657,none,False,False,False,0,-0.3900281000095548,False,4,1.8910611114955744
1000658,none,False,False,False,0,-0.4186264278596758,False,7,1.9507655115595264
1000659,chromatic,False,False,True,1,-0.3557011330988216,False,13,3.1250562465493976
1000660,structural,False,True,False,1,-0.4658948757119399,False,4,1.9219280943102843
1000661,none,False,False,False,0,-0.4363104100190663,False,4,1.5487949401183205
