khipu_id,deviation_type,numeric_deviation,structural_deviation,chromatic_deviation,deviation_count,anomaly_score,is_anomaly,n_colors,color_entropy,num_nodes,depth,avg_branching,density,anomaly_cluster
1000496,structural,False,True,False,1,-0.3644475628093684,False,7,2.083336847906579,31,1,30.0,0.032258064516129,3
1000499,numeric,True,False,False,1,-0.5854461851891914,False,5,2.081185661502569,79,2,5.571428571428571,0.0126582278481012,1
1000501,structural,False,True,False,1,-0.5835198210278316,False,7,1.9633753545418666,419,2,18.130434782608692,0.0023809251921298,4
1000504,structural,False,True,False,1,-0.4916924438234523,False,9,2.4917419884719743,228,4,2.306122448979592,0.004366643480949,5
1000510,structural,False,True,False,1,-0.4361862112975754,False,5,1.9473515707926303,127,1,126.0,0.0078740157480314,3
1000511,structural,False,True,False,1,-0.4368459693935744,False,5,1.9888069130371666,87,1,86.0,0.0114942528735632,3
1000515,chromatic,False,False,True,1,-0.3619491580733819,False,10,3.000932651488606,80,3,3.16,0.0125,5
1000518,chromatic,False,False,True,1,-0.3811154004665898,False,16,3.1051226500355753,165,3,4.0,0.006060606060606,5
1000519,chromatic,False,False,True,1,-0.3982222077043609,False,13,3.260863624679722,191,2,4.418604651162791,0.0052356020942408,5
1000520,chromatic,False,False,True,1,-0.3580735957185155,False,12,3.233514398302053,95,2,4.2727272727272725,0.0105263157894736,5
1000522,hybrid,False,True,True,2,-0.4061762114827744,False,9,2.9434186227234176,96,1,95.0,0.0104166666666666,3
1000526,chromatic,False,False,True,1,-0.4355814003814953,False,18,2.9710099138933015,269,4,3.152941176470588,0.0037174721189591,5
1000529,structural,False,True,False,1,-0.3953605300273097,False,4,1.7944972394022536,63,1,62.0,0.0158730158730158,3
1000530,hybrid,False,True,True,2,-0.3859142219913355,False,17,3.362917921546236,66,1,65.0,0.0151515151515151,3
1000534,structural,False,True,False,1,-0.3932262917892531,False,2,0.7642045062200812,81,1,80.0,0.0123456790123456,3
1000535,structural,False,True,False,1,-0.3557694605223986,False,8,2.804585168183644,24,1,23.0,0.0416666666666666,3
1000537,structural,False,True,False,1,-0.3694766658758275,False,3,1.2088301748621393,25,1,24.0,0.04,3
1000538,structural,False,True,False,1,-0.4003555966021013,False,6,1.7864381943224725,76,1,75.0,0.0131578947368421,3
1000539,chromatic,False,False,True,1,-0.4222583805860004,False,15,3.2221910086287204,195,2,38.8,0.0051282051282051,5
1000541,hybrid,False,True,True,2,-0.6886102631886069,False,16,3.2952579704689544,955,2,10.483516483516484,0.0010471204188481,4
1000543,chromatic,False,False,True,1,-0.377115647216073,False,14,3.2939063212393953,145,2,7.578947368421052,0.0068965517241379,5
1000544,structural,False,True,False,1,-0.4390728620985535,False,4,1.2018036683814923,99,1,98.0,0.0101010101010101,3
1000545,chromatic,False,False,True,1,-0.3899456357399133,False,14,2.9074413593934163,195,3,3.803921568627451,0.0051282051282051,5
1000546,hybrid,False,True,True,2,-0.4308324900550588,False,12,2.9010834254687543,150,5,2.709090909090909,0.0066666666666666,5
1000551,structural,False,True,False,1,-0.3719471597149216,False,6,1.7824858943152215,31,1,30.0,0.032258064516129,3
1000553,chromatic,False,False,True,1,-0.3662882245366709,False,9,2.8535749343526327,53,2,17.333333333333332,0.0188679245283018,5
1000555,structural,False,True,False,1,-0.3905674588743151,False,4,1.870372356159832,73,1,72.0,0.0136986301369863,3
1000556,structural,False,True,False,1,-0.3694461165887697,False,5,2.156477234161217,35,1,34.0,0.0285714285714285,3
1000558,numeric,True,False,False,1,-0.4594292481765021,False,1,0.0,16,1,15.0,0.0625,1
1000563,structural,False,True,False,1,-0.4112308703122049,False,6,2.465960879236415,83,1,82.0,0.0120481927710843,3
1000564,chromatic,False,False,True,1,-0.3942011179544539,False,10,2.7202465415945465,184,2,3.519230769230769,0.0054347826086956,5
1000570,chromatic,False,False,True,1,-0.3722173238558361,False,9,2.064429415530614,126,3,4.310344827586207,0.0079365079365079,5
1000574,structural,False,True,False,1,-0.4532985174871075,False,4,1.861759042050683,83,5,4.315789473684211,0.0120481927710843,5
1000581,structural,False,True,False,1,-0.355304071197117,False,4,1.0563280657906162,33,1,32.0,0.0303030303030303,3
1000582,structural,False,True,False,1,-0.3692681760100752,False,3,1.583773078731643,35,1,34.0,0.0285714285714285,3
1000588,structural,False,True,False,1,-0.4922748029179177,False,4,0.8960663700297561,190,1,189.0,0.0052631578947368,2
1000593,structural,False,True,False,1,-0.435371910287606,False,5,1.618670100328623,101,1,100.0,0.0099009900990099,3
1000595,numeric,True,False,False,1,-0.6155438375244514,False,2,0.9709505941661296,15,3,3.5,0.0666666666666666,1
1000603,structural,False,True,False,1,-0.5511762630982412,False,10,1.8176749612515366,491,5,2.5789473684210527,0.0020366598778004,5
1000613,chromatic,False,False,True,1,-0.4092287511643011,False,8,2.3187217644657574,93,4,1.803921568627451,0.010752688172043,5
1000617,chromatic,False,False,True,1,-0.4061958036893237,False,8,2.914222632877738,95,2,47.0,0.0105263157894736,5
1000618,chromatic,False,False,True,1,-0.3966318815728042,False,13,3.182057136270673,134,3,4.925925925925926,0.0074626865671641,5
1000624,structural,False,True,False,1,-0.4658727885497281,False,6,1.922308975030709,251,5,2.7472527472527477,0.0039840637450199,5
1000625,structural,False,True,False,1,-0.3732748919816672,False,8,2.749730907969538,37,1,36.0,0.027027027027027,3
1000626,structural,False,True,False,1,-0.4628612879388259,False,5,2.235926349907685,5,1,4.0,0.2,1
1000631,hybrid,True,True,False,2,-0.4947803853154175,False,5,2.155639061508219,7,2,1.5,0.1428571428571428,1
1000636,structural,False,True,False,1,-0.3562416535791281,False,3,1.1400457977490999,31,1,30.0,0.032258064516129,3
1000643,structural,False,True,False,1,-0.4274288560940787,False,2,0.9852281357457124,7,2,1.5,0.1428571428571428,1
1000644,structural,False,True,False,1,-0.4816751512605939,False,2,0.7219280945988233,5,2,2.0,0.2,1
1000649,hybrid,False,True,True,2,-0.3561232107111139,False,11,3.0998625038086787,33,1,32.0,0.0303030303030303,3
1000650,chromatic,False,False,True,1,-0.4534563823732165,False,13,2.801358784552351,199,2,12.375,0.0050251256281407,5
1000651,structural,False,True,False,1,-0.3573589763887907,False,4,1.579416007207282,23,1,22.0,0.0434782608695652,3
1000655,structural,False,True,False,1,-0.3586618507182614,False,7,2.3655962293477155,30,1,29.0,0.0333333333333333,3
1000656,structural,False,True,False,1,-0.3650236462239142,False,8,2.2760898473791182,36,1,35.0,0.0277777777777777,3
1000659,chromatic,False,False,True,1,-0.3557011330988216,False,13,3.1250562465493976,57,2,14.0,0.0175438596491228,5
1000660,structural,False,True,False,1,-0.4658948757119399,False,4,1.9219280943102843,5,1,4.0,0.2,1
